,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,15,103,58,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,58,0,1
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,5,58,0,1
3,"""Wir",0.25,0,0,4,0,0,0,0,0,0,0,0,12,41,153,0,1
4,brauchen,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,153,0,1
5,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,153,0,1
6,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,12,3,153,0,1
7,psychologische,0.0,0,0,14,0,0,0,0,0,0,0,0,12,3,153,0,1
8,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,153,0,1
9,an,0.0,0,0,2,0,0,0,0,0,0,0,0,12,143,29,0,1
10,den,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,29,0,1
11,"Universitäten""",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,3,29,0,1
12,Interview,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,88,195,1,0
13,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,195,1,0
14,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,195,1,0
15,Präsidenten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,195,1,0
16,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,195,1,0
17,"BDP,",0.75,1,0,4,0,0,0,0,0,0,0,0,9,2,195,1,0
18,Lothar,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,195,1,0
19,"Hellfritsch,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,1,195,1,0
20,am,0.0,0,0,2,0,0,0,0,0,0,0,0,9,60,210,1,0
21,10.,0.0,0,0,3,2,0,0,0,0,0,0,1,9,3,210,1,0
22,Oktober,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,210,1,0
23,1992,0.0,0,0,4,4,0,0,0,0,0,1,1,8,2,210,0,0
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,210,1,0
25,Würzburg,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,210,1,0
26,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,210,1,0
27,Hans-Jürgen,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,9,2,210,1,0
28,Seel/Günter,0.18181818181818182,1,0,11,0,1,0,0,0,0,0,0,9,3,210,1,0
29,Zurhorst,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,210,1,0
30,L.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,83,428,0,0
31,Hellfritsch,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,428,0,0
32,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,231,246,0,0
33,Person:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,7,2,246,0,0
34,Lothar,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,231,264,0,0
35,J.,0.5,1,0,2,0,0,0,0,0,0,0,0,7,5,264,0,0
36,"Hellfritsch,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,5,264,0,0
