,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Praxisbezug,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,302,26,1,0
1,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,26,1,0
2,Studium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,26,1,0
3,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,18,71,0,0
4,den,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,71,0,0
5,Möglichkeiten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,4,71,0,0
6,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,71,0,0
7,Praxisbezuges,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,4,71,0,0
8,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,71,0,0
9,Studium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,71,0,0
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,71,0,0
11,den,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,71,0,0
12,Anfangen,0.125,1,0,8,0,0,0,0,0,0,0,0,12,66,29,0,0
13,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,29,0,0
14,psychoanalytischen,0.0,0,0,18,0,0,0,0,0,0,0,0,12,3,29,0,0
15,Kompetenz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,29,0,0
16,Wir,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,16,173,0,0
17,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,7,173,0,0
18,Studentinnen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,6,173,0,0
19,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,173,0,0
20,Fachbereichs,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,7,173,0,0
21,respraktikum,0.0,0,0,12,0,0,0,0,0,0,0,0,8,11,173,0,0
22,"sahen,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,6,173,0,0
