,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,15,153,71,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,15,4,71,0,1
2,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,73,166,0,1
3,politisch-psychologischen,0.0,0,0,25,0,0,0,0,0,0,0,0,12,3,166,0,1
4,Bestimmung,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,166,0,1
5,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,166,0,1
6,s,0.0,0,0,1,0,0,0,0,0,0,0,0,12,120,187,0,1
7,pätmodernen,0.0,0,0,11,0,0,0,0,0,0,0,0,12,1,187,0,1
8,Fortschrittsutopie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,3,187,0,1
9,Hans-Joochim,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,9,175,212,1,0
10,Busch,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,212,1,0
11,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,29,242,0,0
12,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,242,0,0
13,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,242,0,0
14,geht,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,242,0,0
15,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,242,0,0
16,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,242,0,0
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,242,0,0
18,"Frage,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,242,0,0
19,ob,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,242,0,0
20,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,242,0,0
21,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,242,0,0
22,am,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,242,0,0
23,Ende,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,242,0,0
24,jeder,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,242,0,0
25,Fortschrittsutopie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,7,2,242,0,0
26,ange­,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,242,0,0
27,langt,0.0,0,0,5,0,0,0,0,0,0,0,0,7,28,16,0,0
28,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
29,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
30,ob,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,16,0,0
31,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
32,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
33,Möglichkeiten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
34,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
35,aktuellen,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Bestimmung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
37,eröffnen.,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
38,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
39,Erörterung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
40,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
41,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
42,poli­,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
43,tisch-psychologische;,0.0,0,0,21,0,0,0,0,0,0,0,0,7,28,16,0,0
44,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
45,orientiert,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
46,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
47,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
48,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
49,triebutopischen,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
