,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,96,68,0,1
1,in,0.0,0,0,2,0,0,0,0,0,0,0,0,15,4,68,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,15,5,68,0,1
3,Berufspraxis,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,68,0,1
4,Praxis-Forschung,0.125,1,0,16,0,0,0,0,0,0,0,0,13,113,147,0,1
5,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,13,2,147,0,1
6,Tat-Sache,0.2222222222222222,1,0,9,0,0,0,0,0,0,0,0,13,3,147,0,1
7,Rolfvon,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,187,171,1,0
8,Feiten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,171,1,0
9,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,27,205,0,0
10,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,205,0,0
11,Kanton,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,205,0,0
12,Be~,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,3,205,0,0
13,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,205,0,0
14,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,205,0,0
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,205,0,0
16,ältesten,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,205,0,0
17,Eniehungsberatungsdienste,0.04,1,0,25,0,0,0,0,0,0,0,0,7,3,205,0,0
18,Europas,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,205,0,0
19,(Gründung,0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,7,3,205,0,0
20,1921).,0.0,0,0,6,4,0,0,0,0,0,0,0,7,28,16,0,0
21,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
22,heutigen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
23,Netzwerk,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
24,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
25,11,0.0,0,0,2,2,0,0,0,0,0,0,1,7,3,16,0,0
26,öffentlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
27,Stellen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
28,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
29,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
30,einiger,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
31,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
32,am,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
33,Aufbau,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
34,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
35,eigenen,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
36,For­,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
37,schungsstruktur,0.0,0,0,15,0,0,0,0,0,0,0,0,7,27,16,0,0
38,gearl>eitet.,0.0,0,0,12,0,0,0,0,0,0,0,0,7,1,16,0,0
39,Ihr,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
40,Kernstück,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
41,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
42,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
43,PhilOliOphie,0.25,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
45,Praxis-Forschung.,0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,7,2,16,0,0
46,Praxisforschungi,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,27,261,0,0
47,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,261,0,0
48,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,261,0,0
49,neue,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,261,0,0
50,Philosophie.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,261,0,0
51,Vielleicht,0.1,1,0,10,0,0,0,0,0,0,0,0,9,27,19,0,0
52,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
53,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
54,überhaupt,0.0,0,0,9,0,0,0,0,0,0,0,0,9,5,19,0,0
55,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
56,Philoso­,0.125,1,0,8,0,0,0,0,0,0,0,0,9,5,19,0,0
57,"phie,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,28,19,0,0
58,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
59,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
60,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,19,0,0
