,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,15,131,67,0,1
1,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,94,99,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,99,0,1
3,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,15,5,99,0,1
4,Dialektische,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,80,194,0,0
5,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,194,0,0
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,194,0,1
7,Psychoanalyse1,0.07142857142857142,1,0,14,1,0,0,0,0,0,0,0,14,4,194,0,0
8,Gottfried,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,180,218,1,0
9,Fischer,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,218,1,0
10,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,23,259,0,0
11,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,259,0,0
12,Gründe,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,259,0,0
13,für,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,259,0,0
14,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,259,0,0
15,bisherige,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,259,0,0
16,Spaltung,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,259,0,0
17,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,259,0,0
18,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,259,0,0
19,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,259,0,0
20,Hochschulpsychologie,0.05,1,0,20,0,0,0,0,0,0,0,0,7,3,259,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,23,16,0,0
22,Deutschland,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,4,16,0,0
23,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,4,16,0,0
24,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
25,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
26,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,4,16,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
28,mangelnden,0.0,0,0,10,0,0,0,0,0,0,0,0,7,4,16,0,0
29,Auseinandersetzung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,7,3,16,0,0
30,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
31,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
32,Nazi-Zeit,0.2222222222222222,1,0,9,0,0,0,0,0,0,0,0,7,4,16,0,0
33,"gesehen,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,4,16,0,0
34,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
35,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,7,23,16,0,0
36,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,5,16,0,0
37,unterschiedlichen,0.0,0,0,17,0,0,0,0,0,0,0,0,7,5,16,0,0
38,"Wissenstypen,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,4,16,0,0
39,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
40,man,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
41,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
42,dialektisch,0.0,0,0,11,0,0,0,0,0,0,0,0,7,5,16,0,0
43,reflexiv,0.0,0,0,8,0,0,0,0,0,0,0,0,7,5,16,0,0
44,versus,0.0,0,0,6,0,0,0,0,0,0,0,0,7,5,16,0,0
45,statisch,0.0,0,0,8,0,0,0,0,0,0,0,0,7,5,16,0,0
46,nomologisch,0.0,0,0,11,0,0,0,0,0,0,0,0,7,5,16,0,0
47,bezeichnen,0.0,0,0,10,0,0,0,0,0,0,0,0,7,23,16,0,0
48,kann.,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
49,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
50,Kluft,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
51,überbrücken,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
52,könnte,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
53,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
54,"""dialektische",0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
55,"Psychologie"",",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
56,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
57,wegen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
58,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
59,Behinderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
60,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,7,23,16,0,0
61,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
62,herrschenden,0.0,0,0,12,0,0,0,0,0,0,0,0,7,5,16,0,0
63,Dogmen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,5,16,0,0
64,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,5,16,0,0
65,Ost,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
66,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
67,West,0.25,1,0,4,0,0,0,0,0,0,0,0,7,5,16,0,0
68,historisch,0.0,0,0,10,0,0,0,0,0,0,0,0,7,5,16,0,0
69,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
70,jetzt,0.0,0,0,5,0,0,0,0,0,0,0,0,7,4,16,0,0
71,jedoch,0.0,0,0,6,0,0,0,0,0,0,0,0,7,4,16,0,0
72,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
73,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,4,16,0,0
74,wenigen,0.0,0,0,7,0,0,0,0,0,0,0,0,7,4,16,0,0
75,Ansätzen,0.125,1,0,8,0,0,0,0,0,0,0,0,7,4,16,0,0
76,hervorgetreten,0.0,0,0,14,0,0,0,0,0,0,0,0,7,23,15,0,0
77,ist.,0.0,0,0,4,0,0,0,0,0,0,0,0,7,6,15,0,0
78,Für,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,6,15,0,0
79,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,5,15,0,0
80,fruchtbare,0.0,0,0,10,0,0,0,0,0,0,0,0,7,6,15,0,0
81,Verbindung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,6,15,0,0
82,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,15,0,0
83,kognitiver,0.0,0,0,10,0,0,0,0,0,0,0,0,7,6,15,0,0
84,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,6,15,0,0
85,(Piagetscher,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,7,6,15,0,0
86,Prägung),0.125,1,0,8,0,0,0,0,0,0,0,0,7,5,15,0,0
87,beispielsweise,0.0,0,0,14,0,0,0,0,0,0,0,0,7,23,16,0,0
88,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
89,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,4,16,0,0
90,muß,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
91,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
92,implizite,0.0,0,0,9,0,0,0,0,0,0,0,0,7,4,16,0,0
93,Dialektik,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,4,16,0,0
94,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
95,(und,0.0,0,0,4,0,0,0,0,0,0,0,0,7,4,16,0,0
96,anderer),0.0,0,0,8,0,0,0,0,0,0,0,0,7,4,16,0,0
97,Ansätze,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,4,16,0,0
98,begriffen,0.0,0,0,9,0,0,0,0,0,0,0,0,7,4,16,0,0
99,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
100,explizit,0.0,0,0,8,0,0,0,0,0,0,0,0,7,23,15,0,0
101,ausformuliert,0.0,0,0,13,0,0,0,0,0,0,0,0,7,3,15,0,0
102,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,15,0,0
103,Nur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,4,15,0,0
104,so,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,15,0,0
105,nimmt,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,15,0,0
106,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
107,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,15,0,0
108,allmählich,0.0,0,0,10,0,0,0,0,0,0,0,0,7,3,15,0,0
109,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
110,Form,0.25,1,0,4,0,0,0,0,0,0,0,0,7,4,15,0,0
111,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,15,0,0
112,selbstreflexiven,0.0,0,0,16,0,0,0,0,0,0,0,0,7,3,15,0,0
113,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,15,0,0
114,dialektischen,0.0,0,0,13,0,0,0,0,0,0,0,0,7,23,16,0,0
115,Wissens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
116,"an,",0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
117,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
118,für,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
119,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
120,Bewältigung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
121,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
122,enormen,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
123,Herausforderungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,3,16,0,0
124,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
125,psychologischen,0.0,0,0,15,0,0,0,0,0,0,0,0,7,3,16,0,0
126,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
127,psychotherapeutischen,0.0,0,0,21,0,0,0,0,0,0,0,0,7,23,16,0,0
128,Praxis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
129,so,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
130,dringend,0.0,0,0,8,0,0,0,0,0,0,0,0,7,1,16,0,0
131,benötigt,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
132,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
133,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,9,23,380,0,0
134,mag,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,380,0,0
