,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,15,114,69,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,69,0,1
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,5,69,0,1
3,Ist,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,45,154,0,1
4,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,154,0,1
5,an,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,154,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,154,0,1
7,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,154,0,1
8,lehrbar,0.0,0,0,7,0,0,0,0,0,0,0,0,12,3,154,0,1
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,154,0,1
10,lernbar?,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,154,0,1
11,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,11,179,175,0,1
12,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,11,3,175,0,1
13,Für,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,29,204,0,0
14,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,204,0,0
15,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,204,0,0
16,stellten,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,204,0,0
17,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,204,0,0
18,freundlicherweise,0.0,0,0,17,0,0,0,0,0,0,0,0,7,2,204,0,0
19,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,204,0,0
20,Verfügung:,0.1,1,0,10,0,0,1,0,0,0,0,0,7,2,204,0,0
21,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,204,0,0
22,"Leithäuser,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,204,0,0
23,Hochschullehrer,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,204,0,0
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,204,0,0
25,Bre­,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,204,0,0
26,men;,0.0,0,0,4,0,0,0,0,0,0,0,0,7,30,16,0,0
27,Maya,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
28,"Nadig,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
