,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,15,117,68,0,1
1,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,15,5,68,0,1
2,Elfenbeinturm,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,15,5,68,0,1
3,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,13,105,134,0,1
4,im,0.0,0,0,2,0,0,0,0,0,0,0,0,13,3,134,0,1
5,Grundstudium,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,13,3,134,0,1
6,­,0.0,0,0,1,0,0,0,0,0,0,0,0,13,3,134,0,1
7,Ihre,0.25,1,0,4,0,0,0,0,0,0,0,0,13,77,28,0,1
8,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,13,3,28,0,1
9,für,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,28,0,1
10,Lernende,0.125,1,0,8,0,0,0,0,0,0,0,0,13,4,28,0,1
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,28,0,1
12,Lehrende,0.125,1,0,8,0,0,0,0,0,0,0,0,13,3,28,0,1
13,Hans-Dieter,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,9,144,172,1,0
14,Jena!,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,172,1,0
15,&,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,172,0,0
16,Eva,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,172,1,0
17,Jaeggi,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,172,1,0
18,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,17,211,0,0
19,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,8,211,0,0
20,Diplomarbeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,8,211,0,0
21,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,8,211,0,0
22,Technischen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,8,211,0,0
23,Bei,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,25,211,0,0
24,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,211,0,0
25,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,211,0,0
26,Schüler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,211,0,0
27,doch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,211,0,0
28,erstaunli­,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,211,0,0
29,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,17,20,0,0
30,Berlin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
31,(Hans-Dieter,0.16666666666666666,0,0,12,0,0,0,0,0,0,0,0,9,4,20,1,0
32,"Jenal,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,1,0
33,Psy­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,5,20,1,0
34,chen,0.0,0,0,4,0,0,0,0,0,0,0,0,9,15,20,0,0
35,Wissensstand,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
36,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
37,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
38,kein,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
39,"Wunder,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
40,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
41,choanalyse,0.0,0,0,10,0,0,0,0,0,0,0,0,9,17,19,1,0
42,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,1,0
43,TUB.,0.75,1,0,4,0,0,0,0,0,0,0,0,9,6,19,1,0
44,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,7,19,1,0
45,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,19,1,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,1,0
47,viele,0.0,0,0,5,0,0,0,0,0,0,0,0,9,11,19,0,0
48,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
49,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,19,0,0
50,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
51,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
52,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
53,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,16,20,1,0
54,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,1,0
55,Studenten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,1,0
56,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,1,0
57,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,1,0
58,ineinsgesetzt,0.0,0,0,13,0,0,0,0,0,0,0,0,9,11,20,0,0
59,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,20,0,0
60,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
61,dementsprechend,0.0,0,0,15,0,0,0,0,0,0,0,0,9,5,20,0,0
62,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,16,19,1,0
63,Grundstudium,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,19,1,0
64,1991),0.0,0,0,5,4,0,0,0,0,0,0,0,9,4,19,0,0
65,wurden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
66,einige,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
67,Stu­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
68,enttäuscht/verwundert,0.0,0,0,21,0,1,0,0,0,0,0,0,9,15,19,0,0
69,"waren,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
70,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
71,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
72,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
73,denten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,17,20,0,0
74,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
75,Hauptstudiums,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,20,0,0
76,ausführlich,0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
77,dar­,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
78,Studium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,14,20,0,0
79,so,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
80,gut,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
81,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
82,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
83,Rolle,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
84,gespielt,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
85,hat.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
