,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,269,26,1,0
1,Wiederkehr,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,26,1,0
2,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,26,1,0
3,Verdrängten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,26,1,0
4,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,109,71,0,1
5,Wiederkehr,0.1,1,0,10,0,0,0,0,0,0,0,0,11,3,71,0,1
6,des,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,71,0,1
7,Verdrängten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,3,71,0,1
8,Sozialpsychologische,0.05,1,0,20,0,0,0,0,0,0,0,0,10,17,98,0,1
9,Aspekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,2,98,0,1
10,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,98,0,1
11,Identität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,3,98,0,1
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,98,0,1
13,Deutschen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,3,98,0,1
14,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,98,0,1
15,Auschwitz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,3,98,0,1
16,Dierk,0.2,1,0,5,0,0,0,0,0,0,0,0,9,181,123,1,0
17,Juelich,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,1,123,1,0
18,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,16,164,0,0
19,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,164,0,0
20,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,164,0,0
21,versucht,0.0,0,0,8,0,0,0,0,0,0,0,0,7,1,164,0,0
22,"aufzuzeigen,",0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,164,0,0
23,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,164,0,0
24,während,0.0,0,0,7,0,0,0,0,0,0,0,0,7,1,164,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,164,0,0
26,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,164,0,0
27,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,164,0,0
28,Nationalsozialismus,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,7,2,164,0,0
29,über,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,164,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,164,0,0
31,p<>­,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,164,0,0
32,litische,0.0,0,0,8,0,0,0,0,0,0,0,0,7,16,18,0,0
33,Organisation,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,18,0,0
34,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,18,0,0
35,intrapsychischen,0.0,0,0,16,0,0,0,0,0,0,0,0,7,2,18,0,0
36,Mechanismus,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,18,0,0
37,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,3,18,0,0
38,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,18,0,0
39,Abspaltung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,18,0,0
40,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,0
41,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,0
42,projektiven,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,18,0,0
43,Zuweisung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,18,0,0
44,­,0.0,0,0,1,0,0,0,0,0,0,0,0,7,3,18,0,0
45,"das,",0.0,0,0,4,0,0,0,0,0,0,0,0,7,16,18,0,0
46,wofür,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,18,0,0
47,Auschwitz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,18,0,0
48,"steht,",0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,18,0,0
49,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
50,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
51,psychischen,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,18,0,0
52,Voraussetzungen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,18,0,0
53,her,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
54,überhaupt,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,18,0,0
55,erst,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,18,0,0
56,möglich,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,18,0,0
57,wurde.,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,18,0,0
58,Wenn,0.25,1,0,4,0,0,0,0,0,0,0,0,9,16,229,0,0
59,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,229,0,0
60,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,229,0,0
61,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,229,0,0
62,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,229,0,0
63,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,229,0,0
64,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,229,0,0
65,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,229,0,0
66,Nationalsozialismus,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,16,20,0,0
67,bedingenden,0.0,0,0,11,0,0,0,0,0,0,0,0,9,8,20,0,0
68,Verhal­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,8,20,0,0
69,tensweisen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,16,19,0,0
70,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
71,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
72,Auswirkungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,19,0,0
73,befas­,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
74,"sen,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,16,19,0,0
75,stellen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
76,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
77,verschiedenartige,0.0,0,0,17,0,0,0,0,0,0,0,0,9,4,19,0,0
78,Gefühle,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
79,"ein,",0.0,0,0,4,0,0,0,0,0,0,0,0,9,16,19,0,0
80,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
81,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
82,heftigen,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,19,0,0
83,Affekten,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,19,0,0
84,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
85,hin,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
86,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
87,scheinbaren,0.0,0,0,11,0,0,0,0,0,0,0,0,9,16,19,0,0
88,totalen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
89,Absenz,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
90,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
91,Gefühlen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,5,19,0,0
