,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"Person,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,16,14,66,0,0
1,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,4,66,0,0
2,u,0.0,0,0,1,0,0,0,0,0,0,0,0,16,4,66,0,0
3,n,0.0,0,0,1,0,0,0,0,0,0,0,0,16,0,66,0,0
4,d,0.0,0,0,1,0,0,0,0,0,0,0,0,16,0,66,0,0
5,Geschlechterverhältnis,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,16,5,66,0,0
6,Laudatio,0.125,1,0,8,0,0,0,0,0,0,0,0,11,31,191,0,0
7,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,191,0,0
8,Ehrenpromotion,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,11,2,191,0,0
9,von,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,191,0,0
10,Hans,0.25,1,0,4,0,0,0,0,0,0,0,0,11,3,191,0,0
11,Keilson,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,11,3,191,0,0
12,an,0.0,0,0,2,0,0,0,0,0,0,0,0,11,3,191,0,0
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,191,0,0
14,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,3,191,0,0
15,Geh,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,13,142,167,0,0
16,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,13,4,167,0,0
17,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,13,4,167,0,0
18,Haus,0.25,1,0,4,0,0,0,0,0,0,0,0,13,3,167,0,0
19,Bremen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,125,206,0,0
20,am,0.0,0,0,2,0,0,0,0,0,0,0,0,11,3,206,0,0
21,24.,0.0,0,0,3,2,0,0,0,0,0,0,1,11,3,206,0,0
22,November,0.125,1,0,8,0,0,0,0,0,0,0,1,11,3,206,0,0
23,1992,0.0,0,0,4,4,0,0,0,0,0,1,1,11,3,206,0,0
24,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,166,232,1,0
25,Leithäuser,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,232,1,0
26,Hans,0.25,1,0,4,0,0,0,0,0,0,0,0,9,78,409,0,0
27,Keilson,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,409,0,0
28,Hans,0.25,1,0,4,0,0,0,0,0,0,0,0,9,13,439,0,0
29,Keilson,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,5,439,0,0
30,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,439,0,0
31,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,439,0,0
