,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Buchbesprechungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,25,27,1,0
1,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,25,55,0,0
2,"Naturwissenschaft,",0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,3,55,0,0
3,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,55,0,0
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,55,0,0
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,55,0,0
6,Auf­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,55,0,0
7,klärung,0.0,0,0,7,0,0,0,0,0,0,0,0,9,26,19,0,0
8,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
9,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,19,0,0
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
11,Natur,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,19,0,0
12,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
13,Natur­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,19,0,0
14,geschichte,0.0,0,0,10,0,0,0,0,0,0,0,0,9,25,19,0,0
15,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
16,"Menschen""",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,19,0,0
17,(S.250).,0.125,0,0,8,3,0,0,0,0,0,0,0,9,3,19,0,0
18,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,40,19,0,0
19,zweite,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
20,Strang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
22,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
23,Buch,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
24,wen­,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
25,det,0.0,0,0,3,0,0,0,0,0,0,0,0,9,26,19,0,0
26,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
28,suggestiven,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,19,0,0
29,Kraft,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
30,psychoanaly­,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
31,tischer,0.0,0,0,7,0,0,0,0,0,0,0,0,9,26,19,0,0
32,Interve!1tionen,0.06666666666666667,1,0,15,1,0,0,0,0,0,0,0,9,3,19,0,0
33,zu.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
34,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
35,Psychoanaly­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
36,tiker,0.0,0,0,5,0,0,0,0,0,0,0,0,9,26,19,0,0
37,muß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
38,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
39,Ubersetzer,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
40,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
41,Metaphoriker,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,19,0,0
42,begriffen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,25,19,0,0
43,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,19,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
45,sinnstiftend,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,19,0,0
46,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
47,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
48,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,9,25,19,0,0
49,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
50,Patienten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,19,0,0
51,Einfluß,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
52,nimmt.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
53,Dessen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
54,Erinnerungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,25,19,0,0
55,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,6,19,0,0
56,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,7,19,0,0
57,Konstruktio­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,6,19,0,0
58,nen,0.0,0,0,3,0,0,0,0,0,0,0,0,9,26,19,0,0
59,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
60,Analytikers,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,6,19,0,0
61,prolongiert.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,7,19,0,0
62,Psycho­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,6,19,0,0
63,analyse,0.0,0,0,7,0,0,0,0,0,0,0,0,9,26,19,0,0
64,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
65,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
66,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
67,Weise,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,19,0,0
68,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
69,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
70,rhetori­,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,19,0,0
71,sche,0.0,0,0,4,0,0,0,0,0,0,0,0,9,26,19,0,0
72,Tradition,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,19,0,0
73,gestellt.,0.0,0,0,9,0,0,0,0,0,0,0,0,9,5,19,0,0
74,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
75,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
76,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,19,0,0
77,"""Fin­",0.2,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
78,denslehre,0.0,0,0,9,0,0,0,0,0,0,0,0,9,26,19,0,0
79,"(Vindizierungslehre),",0.047619047619047616,0,0,21,0,0,0,0,0,0,0,0,9,3,19,0,0
80,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
81,ars,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
82,in­,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
83,"veniendi,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,26,19,0,0
84,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
85,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
86,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
87,metaphorischen,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,19,0,0
88,Rede,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
89,"bedient,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,26,19,0,0
90,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,8,19,0,0
91,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,8,19,0,0
92,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,8,19,0,0
93,Einbildungskraft,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,8,19,0,0
94,(Phantasie),0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,9,26,19,0,0
95,jeweils,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,19,0,0
96,Neues,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
97,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
98,finden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
99,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
100,überraschen~e,0.0,0,0,13,0,0,0,0,0,0,0,0,7,26,19,0,0
101,Verknüpfung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,9,19,0,0
102,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,10,19,0,0
103,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,10,19,0,0
104,Prinzip,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,26,20,0,0
105,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
106,Ahnlichkeit.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
107,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
108,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
109,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
110,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
111,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,26,19,0,0
112,"klar,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,6,19,0,0
113,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,19,0,0
114,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
115,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,6,19,0,0
116,wegen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,6,19,0,0
117,ihres,0.0,0,0,5,0,0,0,0,0,0,0,0,9,26,19,0,0
118,besonderen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,7,19,0,0
119,Wissenschaftscharakters,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,7,19,0,0
120,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,26,19,0,0
121,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,19,0,0
122,unlösbaren,0.0,0,0,10,0,0,0,0,0,0,0,0,9,5,19,0,0
123,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
124,unversöhnlichen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,5,19,0,0
125,Konflikt,0.125,1,0,8,0,0,0,0,0,0,0,0,9,26,19,0,0
126,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
127,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
128,konventionellen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,5,19,0,0
129,Wissen­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,19,0,0
130,schaftsverständnis,0.0,0,0,18,0,0,0,0,0,0,0,0,9,26,19,0,0
131,"steht,",0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
132,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
133,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
134,Descartes,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,19,0,0
135,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,26,19,0,0
136,Vorrangstellung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,6,19,0,0
137,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
138,begründeten,0.0,0,0,11,0,0,0,0,0,0,0,0,9,5,19,0,0
139,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
140,abgeleiteten,0.0,0,0,12,0,0,0,0,0,0,0,0,9,26,19,0,0
141,"Rede,",0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,19,0,0
142,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
143,Suprematie,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,19,0,0
144,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
145,de­,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
146,duktiven,0.0,0,0,8,0,0,0,0,0,0,0,0,9,26,19,0,0
147,Denkens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
148,festgelegt,0.0,0,0,10,0,0,0,0,0,0,0,0,9,2,19,0,0
149,"hat""",0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
150,(S.32O).,0.25,0,0,8,2,0,0,0,0,0,0,0,9,3,19,0,0
151,Kommentar,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,27,371,0,0
152,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,371,0,0
153,Heft,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,371,0,0
154,1,0.0,0,0,1,1,0,0,0,0,0,0,1,9,2,371,0,0
155,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,371,0,0
156,Journals:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,9,2,371,0,0
157,Anmerkungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,26,19,0,0
158,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
159,",,hermeneutischen",0.0,0,0,17,0,0,0,0,0,0,0,0,9,3,19,0,0
160,"Experiment""",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,26,19,0,0
161,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
162,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,19,0,0
163,Leithäuser,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,19,0,0
164,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,26,413,0,0
165,Leithäuser,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,413,0,0
166,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,413,0,0
167,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,413,0,0
168,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,413,0,0
169,ersten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,413,0,0
170,Num­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,413,0,0
171,mer,0.0,0,0,3,0,0,0,0,0,0,0,0,9,26,20,0,0
172,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
