,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,249,29,1,0
1,Psychoanalytiker,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,29,1,0
2,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,29,1,0
3,homo,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,29,1,0
4,laber,0.0,0,0,5,0,0,0,0,0,0,0,0,9,0,29,1,0
5,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,13,96,74,0,0
6,Psychoanalytiker,0.0625,1,0,16,0,0,0,0,0,0,0,0,13,3,74,0,0
7,als,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,74,0,0
8,homo,0.0,0,0,4,0,0,0,0,0,0,0,0,13,4,74,0,0
9,faber,0.0,0,0,5,0,0,0,0,0,0,0,0,13,3,74,0,0
10,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,8,181,98,1,0
11,Schütt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,98,1,0
12,(t),0.0,0,0,3,0,0,0,0,0,0,0,0,9,8,98,0,0
13,ZuSllllUllenfassung:,0.15,1,0,20,0,0,1,0,0,0,0,0,7,16,141,0,0
14,Ausgehend,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,141,0,0
15,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,141,0,0
16,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,141,0,0
17,Rekonstruktion,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,3,141,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,141,0,0
19,psychologi.schen,0.0,0,0,16,0,0,0,0,0,0,0,0,7,2,141,0,0
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,141,0,0
21,sozialen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,141,0,0
22,Eigenschaften,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,141,0,0
23,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,141,0,0
24,homo,0.0,0,0,4,0,0,0,0,0,0,0,0,7,16,18,0,0
25,faber,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,18,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,0
27,Naniß,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,18,0,0
28,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,18,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,0
30,Typus,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,18,0,0
31,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
32,homo,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,18,0,0
33,faber,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,18,0,0
34,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,18,0,0
35,Beziehung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,18,0,0
36,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,18,0,0
37,Professionalisierungs-,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,7,3,18,0,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,0
39,Bewä1ti­,0.125,1,0,8,1,0,0,0,0,0,0,0,7,3,18,0,0
40,gungsformen,0.0,0,0,11,0,0,0,0,0,0,0,0,7,16,18,0,0
41,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,18,0,0
42,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
43,psychoanalytischen,0.0,0,0,18,0,0,0,0,0,0,0,0,7,2,18,0,0
44,Praxis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,18,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,0
47,Institution,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,18,0,0
48,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
49,Psychoanaly&C,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,7,2,18,0,0
50,gesetzt.,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,18,0,0
51,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
52,psychoanalyti­,0.0,0,0,14,0,0,0,0,0,0,0,0,7,2,18,0,0
53,sche,0.0,0,0,4,0,0,0,0,0,0,0,0,7,15,17,0,0
54,Technik,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,1,17,0,0
55,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,17,0,0
56,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,17,0,0
57,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
58,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
59,bloßes,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,17,0,0
60,Werkzeug,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,17,0,0
61,benutzt,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
62,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,17,0,0
63,dient,0.0,0,0,5,0,0,0,0,0,0,0,0,7,4,17,0,0
64,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
65,Abwehr,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,1,17,0,0
66,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,17,0,0
67,IsoIationslingste,0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,7,2,17,0,0
68,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
69,Psychoanaly­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,17,0,0
70,tikers,0.0,0,0,6,0,0,0,0,0,0,0,0,7,16,17,0,0
71,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
72,befestigt,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,17,0,0
73,Machtverbältnisse,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,2,17,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
75,Institution.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,17,0,0
76,Ihr,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
77,spielerischer,0.0,0,0,13,0,0,0,0,0,0,0,0,7,1,17,0,0
78,Gebrauch,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,17,0,0
79,(homo,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,17,0,0
80,ludens),0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
81,ermöglicht,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,17,0,0
82,Be­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
83,gegnungen,0.0,0,0,9,0,0,0,0,0,0,0,0,7,15,18,0,0
84,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
85,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
86,Anderen.,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,18,0,0
87,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,15,236,0,0
88,rückt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,236,0,0
89,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,236,0,0
90,"Psychoanalytiker,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,2,236,0,0
91,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,236,0,0
92,mag,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,236,0,0
93,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,236,0,0
94,manche,0.0,0,0,6,0,0,0,0,0,0,0,0,8,16,19,0,0
95,Leserin,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
96,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
97,mancher,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
98,Leser,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
99,"fragen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
100,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,15,19,0,0
101,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
102,Nähe,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
103,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
104,homo,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
105,faber?,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
106,Schließlich,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
107,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
108,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,15,19,0,0
109,wenig,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
110,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
111,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
112,Handwerksbe­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
113,rufen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,16,19,0,0
114,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
115,tun;,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
116,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
117,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
118,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
119,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
120,Ingenieur­,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,19,0,0
121,wissenschaft.,0.0,0,0,13,0,0,0,0,0,0,0,0,8,15,19,0,0
122,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
123,geht,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
124,vielmehr,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
125,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
126,"!?eutung,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
127,"Interpretation,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,16,19,0,0
128,Widerstand,0.1,1,0,10,0,0,0,0,0,0,0,0,8,7,19,0,0
129,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,8,19,0,0
130,Ubertra­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,7,19,0,0
131,gung;,0.0,0,0,5,0,0,0,0,0,0,0,0,9,15,19,0,0
132,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
133,geht,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
134,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
135,Hermeneutik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,19,0,0
136,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
137,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
138,sy­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
139,"stematischen,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,15,20,0,0
140,kritischen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
141,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
142,praktisch,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
143,än­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
144,dernden,0.0,0,0,7,0,0,0,0,0,0,0,0,8,15,19,0,0
145,Anwendung.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,6,19,0,0
146,Andere,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,6,19,0,0
147,Leserinnen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,7,19,0,0
148,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,15,19,0,0
149,Leser,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
150,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
151,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
152,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
153,Psychoanalyti­,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,19,0,0
154,ker,0.0,0,0,3,0,0,0,0,0,0,0,0,8,15,19,0,0
155,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
156,Gewande,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,19,0,0
157,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
158,homo,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,19,0,0
159,faber,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
160,weniger,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,19,0,0
161,Schwierigkeiten,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,15,20,0,0
