,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Gerd,0.25,1,0,4,0,0,0,0,0,0,0,0,9,27,29,1,0
1,Vinnai,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,29,1,0
2,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,132,73,0,1
3,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,73,0,1
4,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,73,0,1
5,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,73,0,1
6,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,89,28,0,1
7,Erneuerung,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,28,0,1
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,28,0,1
9,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,28,0,1
10,beitragen?,0.0,0,0,10,0,0,0,0,0,0,0,0,12,3,28,0,1
11,Gerhard,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,187,115,1,0
12,Vinnai,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,115,1,0
13,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,27,156,0,0
14,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,156,0,0
15,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,156,0,0
16,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,156,0,0
17,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,156,0,0
18,wesentlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,156,0,0
19,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,156,0,0
20,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,156,0,0
21,Erneuerung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,156,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,156,0,0
23,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,156,0,0
24,leisten.,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,156,0,0
25,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,27,16,0,0
26,enthält,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
27,"Potentiale,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
28,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
29,Freisetzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
30,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
31,Überwindung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
32,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
33,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
35,nomologischen,0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
37,verordneten,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
38,wissenschaftlichen,0.0,0,0,18,0,0,0,0,0,0,0,0,7,26,16,0,0
39,Restriktionen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
40,beitragen,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
41,können.,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
