,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,RolfVogt,0.25,1,0,8,0,0,0,0,0,0,0,0,9,24,24,1,0
1,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,116,69,0,0
2,an,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,69,0,0
3,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,69,0,0
4,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,69,0,0
5,RolfVogt,0.25,1,0,8,0,0,0,0,0,0,0,0,9,196,94,1,0
6,Meine,0.2,1,0,5,0,0,0,0,0,0,0,0,9,24,137,0,0
7,Ausführungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,137,0,0
8,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,137,0,0
9,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,137,0,0
10,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,137,0,0
11,ha­,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,137,0,0
12,ben,0.0,0,0,3,0,0,0,0,0,0,0,0,9,24,19,0,0
13,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,9,5,19,0,0
14,Erfahrungshintergrund:,0.045454545454545456,1,0,22,0,0,1,0,0,0,0,0,9,6,19,0,0
15,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
16,bin,0.0,0,0,3,0,0,0,0,0,0,0,0,9,24,19,0,0
17,Psychologe,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,19,0,0
18,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
19,Psychoanalytiker,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,5,19,0,0
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
21,lehre,0.0,0,0,5,0,0,0,0,0,0,0,0,9,24,19,0,0
22,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
23,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
24,20,0.0,0,0,2,2,0,0,0,0,0,0,1,9,4,19,0,0
25,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,19,0,0
26,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,3,19,0,0
27,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,19,0,0
28,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,24,19,0,0
29,Universität:,0.08333333333333333,1,0,12,0,0,1,0,0,0,0,0,9,4,19,0,0
30,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
31,1970,0.0,0,0,4,4,0,0,0,0,0,1,1,9,3,19,0,0
32,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
33,1977,0.0,0,0,4,4,0,0,0,0,0,1,1,9,3,19,0,0
34,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
35,Rah­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,19,0,0
36,men,0.0,0,0,3,0,0,0,0,0,0,0,0,9,24,20,0,0
37,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
38,Medizin,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,5,20,0,0
39,(Psychosomatische,0.058823529411764705,0,0,17,0,0,0,0,0,0,0,0,9,5,20,0,0
40,Uni­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,5,20,0,0
41,versitätsklinik,0.0,0,0,15,0,0,0,0,0,0,0,0,9,24,19,0,0
42,Heidelberg);,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,7,19,0,0
43,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,19,0,0
44,1977,0.0,0,0,4,4,0,0,0,0,0,1,1,9,7,19,0,0
45,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,19,0,0
46,1980,0.0,0,0,4,4,0,0,0,0,0,1,1,9,25,19,0,0
47,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,7,19,0,0
48,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,8,19,0,0
49,interfakultativen,0.0,0,0,17,0,0,0,0,0,0,0,0,9,8,19,0,0
50,Struktur,0.125,1,0,8,0,0,0,0,0,0,0,0,9,8,19,0,0
51,(Psychoanalytisches,0.05263157894736842,0,0,19,0,0,0,0,0,0,0,0,9,25,20,0,0
52,Institut,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,20,0,0
53,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
54,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
55,Frankfurt);,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,24,19,0,0
56,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
57,1980,0.0,0,0,4,4,0,0,0,0,0,1,1,9,4,19,0,0
58,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,19,0,0
59,Rahmen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
60,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
61,Psy­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
62,chologenausbildung,0.0,0,0,18,0,0,0,0,0,0,0,0,9,24,20,0,0
63,(Studiengang,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
64,Psycholo­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
65,gie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,24,19,0,0
66,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
67,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,19,0,0
68,Bremen).,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,19,0,0
69,Seit,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,19,0,0
70,1977,0.0,0,0,4,4,0,0,0,0,0,1,1,9,4,19,0,0
71,bin,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
72,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,24,20,0,0
73,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
74,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
75,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
