,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"Person,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,15,29,65,0,1
1,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,65,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,65,0,1
3,Geschlechterverhältnis,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,15,5,65,0,1
4,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,12,179,181,0,1
5,Gespräch:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,12,3,181,0,1
6,Gernot,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,47,203,0,1
7,Böhme,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,203,0,1
8,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,203,0,1
9,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,203,0,1
10,Legewie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,203,0,1
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,203,0,1
12,Hans-Jürgen,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,12,4,203,0,1
13,See},0.25,1,0,4,0,0,0,0,0,0,0,0,12,4,203,0,1
14,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,240,263,0,0
15,Person:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,7,2,263,0,0
16,Gernot,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,241,281,0,0
17,"Böhme,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,281,0,0
18,Prof.,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,281,0,0
19,"Dr.,",0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,281,0,0
20,Studium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,281,0,0
21,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,281,0,0
22,Mathema­,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,281,0,0
23,"tik,",0.0,0,0,4,0,0,0,0,0,0,0,0,7,240,16,0,0
24,"Physik,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
25,Philosophie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
26,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
27,Göttingen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
28,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
29,Hamburg.,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
30,Promotion,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,240,16,0,0
31,Hamburg,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,6,16,0,0
32,"1965,",0.0,0,0,5,4,0,0,0,0,0,0,1,7,6,16,0,0
33,Habilitation,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,6,16,0,0
34,1972.,0.0,0,0,5,4,0,0,0,0,0,0,1,7,6,16,0,0
35,Wiss.,0.2,1,0,5,0,0,0,0,0,0,0,0,7,240,16,0,0
36,Ass.,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
37,a.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
38,d.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
39,Univers.,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
