,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,97,66,0,1
1,in,0.0,0,0,2,0,0,0,0,0,0,0,0,15,4,66,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,15,5,66,0,1
3,Berufspraxis,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,66,0,1
4,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,128,147,0,1
5,Rolle,0.2,1,0,5,0,0,0,0,0,0,0,0,12,4,147,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,147,0,1
7,Prozeßphantasie,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,3,147,0,1
8,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,118,28,0,1
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,28,0,1
10,stationären,0.0,0,0,11,0,0,0,0,0,0,0,0,12,3,28,0,1
11,Psychotherapie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,3,28,0,1
12,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,176,188,1,0
13,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,188,1,0
14,Buchholz,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,188,1,0
15,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,28,218,0,0
16,Vorgestellt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,218,0,0
17,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,218,0,0
18,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,218,0,0
19,qualitative,0.0,0,0,11,0,0,0,0,0,0,0,0,7,3,218,0,0
20,Auswertung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,218,0,0
21,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,218,0,0
22,AbschlußinteIViews,0.16666666666666666,1,0,18,0,0,0,0,0,0,0,0,7,2,218,0,0
23,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,218,0,0
24,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,218,0,0
25,Schmerz­,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,218,0,0
26,patienten.,0.0,0,0,10,0,0,0,0,0,0,0,0,7,28,16,0,0
27,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
28,Prozeßphantasie,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
29,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
30,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
31,"""schlafende""",0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
32,Metapher,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
33,anhand,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
34,genau,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
35,spezifizierter,0.0,0,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Auswertungsregeln,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,1,16,0,0
37,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,7,27,16,0,0
38,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
39,Transkript,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
40,erschlossen.,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
41,Abschnitte,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
