,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Minu,0.25,1,0,4,0,0,0,0,0,0,0,0,9,20,25,1,0
1,Hemmati-Weber,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,9,3,25,1,0
2,Zivilisierung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,136,70,0,1
3,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,70,0,1
4,Corpus,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,70,0,1
5,Warum,0.2,1,0,5,0,0,0,0,0,0,0,0,10,102,94,0,1
6,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,94,0,1
7,Naturzerstörung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,2,94,0,1
8,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,94,0,1
9,erleben,0.0,0,0,7,0,0,0,0,0,0,0,0,10,3,94,0,1
10,Minu,0.25,1,0,4,0,0,0,0,0,0,0,0,9,165,119,1,0
11,Hemmati-Weber,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,9,3,119,1,0
12,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,21,160,0,0
13,Unser,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,160,0,0
14,distanziertes,0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,160,0,0
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,160,0,0
16,hierarchisches,0.0,0,0,14,0,0,0,0,0,0,0,0,7,2,160,0,0
17,Naturverhältnis,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,160,1,0
18,beruht,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,160,0,0
19,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,160,0,0
20,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,160,0,0
21,"Interessen,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,160,1,0
22,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,160,0,0
23,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,160,0,0
24,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,7,20,17,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
26,Umwelt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,17,0,0
27,gegenübertreten.,0.0,0,0,16,0,0,0,0,0,0,0,0,7,2,17,0,0
28,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
29,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,1,17,0,0
30,reproduziert,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,17,0,0
31,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,17,0,0
32,entsprechende,0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,17,0,0
33,Sozialisation.,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,17,0,0
34,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,7,1,17,0,0
35,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,7,1,17,0,0
36,Soziali­,0.125,1,0,8,0,0,0,0,0,0,0,0,7,1,17,0,0
37,sation,0.0,0,0,6,0,0,0,0,0,0,0,0,7,21,16,0,0
38,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
39,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
40,leibliche,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,16,1,0
41,"Sozialisation,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,16,1,0
42,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
43,v.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
44,a.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
45,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
46,Disziplinierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
47,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
48,Förderung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
49,sinnlicher,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
50,Distanz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
51,besteht,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
52,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
53,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
54,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,21,17,0,0
55,zivilisierten,0.0,0,0,13,0,0,0,0,0,0,0,0,8,1,17,1,0
56,Corpus,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,17,1,0
57,mündet.,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
58,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
59,bedeutet:,0.0,0,0,9,0,0,1,0,0,0,0,0,7,2,17,0,0
60,Betonung,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,17,0,0
61,diakritischer,0.0,0,0,13,0,0,0,0,0,0,0,0,7,1,17,0,0
62,Perzeption,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,17,0,0
63,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
64,Verschüttung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,17,0,0
65,coenästhe­,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,17,0,0
66,tischer,0.0,0,0,7,0,0,0,0,0,0,0,0,7,21,17,0,0
67,"Wahrnehmungsanteile,",0.05,1,0,20,0,0,0,0,0,0,0,0,7,2,17,0,0
68,Hierarchisierung,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,3,17,0,0
69,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
70,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,17,0,0
71,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,17,0,0
72,Dominanz,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,17,0,0
73,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
74,"Sehens,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,17,0,0
75,eingeschränkte,0.0,0,0,14,0,0,0,0,0,0,0,0,7,3,17,0,0
76,Körper­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
77,"sprache,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,20,16,0,0
78,Fokussierung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
79,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
80,sinnlichen,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
81,Wahmehmungsfähigkeiten,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,7,2,16,0,0
82,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
83,artifizielle,0.0,0,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
84,Objekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
85,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
86,Ambiente.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
87,Diese,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
88,Form,0.25,1,0,4,0,0,0,0,0,0,0,0,7,21,16,0,0
89,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
90,Leiblichkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
91,führt,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
92,"dazu,",0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
93,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
94,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
95,Zerstörung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
96,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
97,Natur,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
98,für,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
99,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
100,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
101,abstraktes,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
