,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,15,106,68,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,68,0,1
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,68,0,1
3,Phänomenologie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,57,159,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,159,0,1
5,Experiment,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,159,0,1
6,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,159,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,159,0,1
8,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,159,0,1
9,MaxHerzog,0.2222222222222222,1,0,9,0,0,0,0,0,0,0,0,9,188,184,1,0
10,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,23,224,0,0
11,Nach,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,224,0,0
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,224,0,0
13,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,224,0,0
14,einiger,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,224,0,0
15,"Vorurteile,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,224,0,0
16,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,224,0,0
17,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,224,0,0
18,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,224,0,0
19,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,224,0,0
20,Phänomenologie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,224,0,0
21,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,224,0,0
22,Expe­,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,224,0,0
23,riment,0.0,0,0,6,0,0,0,0,0,0,0,0,7,23,16,0,0
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
26,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
27,"belasten,",0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
