,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,27,30,1,0
1,Krämer-Badoni,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,9,2,30,1,0
2,Ökologische,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,88,74,0,1
3,Krise,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,74,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,74,0,1
5,städtische,0.0,0,0,10,0,0,0,0,0,0,0,0,12,4,74,0,1
6,Mobilität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,74,0,1
7,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,115,99,0,1
8,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,2,99,0,1
9,individuellen,0.0,0,0,13,0,0,0,0,0,0,0,0,10,2,99,0,1
10,Verhaltens,0.1,1,0,10,0,0,0,0,0,0,0,0,10,2,99,0,1
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,125,24,0,1
12,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,24,0,1
13,nachmodemen,0.0,0,0,11,0,0,0,0,0,0,0,0,10,2,24,0,1
14,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,3,24,0,1
15,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,168,138,1,0
16,Krämer-Badoni,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,9,2,138,1,0
17,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,27,180,0,0
18,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,7,4,180,0,0
19,ersten,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,180,0,0
20,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,180,0,0
21,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,180,0,0
22,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,180,0,0
23,gesellschaftsstrukturellen,0.0,0,0,26,0,0,0,0,0,0,0,0,7,3,180,0,0
24,Tendenzen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,180,0,0
25,"dargestellt,",0.0,0,0,12,0,0,0,0,0,0,0,0,7,3,180,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,180,0,0
27,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,180,0,0
28,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,180,0,0
29,Ausweitung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,26,18,0,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,0
31,automobilen,0.0,0,0,11,0,0,0,0,0,0,0,0,7,4,18,0,0
32,Mobilität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,18,0,0
33,hinwirken:,0.0,0,0,10,0,0,1,0,0,0,0,0,7,4,18,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,18,0,0
35,epochale,0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,18,0,0
36,"Individualisierungstrend,",0.04,1,0,25,0,0,0,0,0,0,0,0,7,4,18,0,0
37,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,18,0,0
38,Zunahme,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,4,18,0,0
39,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,18,0,0
40,"Frauenerwerbstätigkeit,",0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,7,27,18,0,0
41,Einkommens-,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,18,0,0
42,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,18,0,0
43,Freizeitentwicklung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,7,2,18,0,0
44,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,18,0,0
45,a.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,18,0,0
