,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Buchbesprechungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,31,24,1,0
1,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,32,51,0,0
2,"Leithäuser,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,51,0,0
3,Elfriede,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,51,0,0
4,"Löchel,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,51,0,0
5,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,51,0,0
6,kens.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,14,51,0,0
7,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,51,0,0
8,praktisch,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,51,0,0
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,51,0,0
10,technisch,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,51,0,0
11,begabte,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,51,0,0
12,"Schütt,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,32,19,0,0
13,Eva,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
14,"Senghaas-Knobloch,",0.1111111111111111,1,0,18,0,0,0,0,0,0,0,0,8,2,19,0,0
15,Erhard,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
16,Walter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,23,19,0,0
17,"Faber,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
18,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
19,Max,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
20,Frisch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
21,1957,0.0,0,0,4,4,0,0,0,0,0,1,1,8,3,19,0,0
22,ins,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
23,Le­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
24,Tietel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,32,19,0,0
25,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
26,Birgit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
27,Volmerg:,0.125,1,0,8,0,0,1,0,0,0,0,0,8,1,19,0,0
28,Lust,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
