,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Buchbesprechungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,15,147,74,0,1
1,Jürgen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,33,178,0,0
2,Straub:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,8,2,178,0,0
3,Historisch-psychologische,0.04,1,0,25,0,0,0,0,0,0,0,0,8,3,178,0,0
4,Biographieforschung:,0.05,1,0,20,0,0,1,0,0,0,0,0,8,34,19,0,0
5,"theoretische,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,19,0,0
6,methodologische,0.0,0,0,15,0,0,0,0,0,0,0,0,8,33,19,0,0
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,1
8,methodische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
9,Argumentationen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,33,19,0,0
10,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
11,systematischer,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,19,0,0
12,Absicht.,0.125,1,0,8,0,0,0,0,0,0,0,0,8,33,19,0,0
13,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
14,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
15,Vorwort,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
16,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
17,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
18,Legewie.,0.125,1,0,8,0,0,0,0,0,0,0,0,8,33,19,0,0
19,Heidelberg,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
20,"1989,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,2,19,0,0
21,Asanger,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
22,Biographieforschung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,33,252,0,0
23,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,252,0,0
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,252,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,252,0,0
26,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,252,0,0
27,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,33,19,0,0
28,en,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
29,vogue.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
30,Publikationen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,5,19,0,0
31,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
32,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
33,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,33,19,0,0
34,gibt,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,19,0,0
35,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,19,0,0
36,mittlerweile,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,19,0,0
37,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,19,0,0
38,Hülle,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
39,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
40,Fülle.,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,33,19,0,0
41,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,6,19,0,0
42,Hans,0.25,1,0,4,0,0,0,0,0,0,0,0,8,6,19,0,0
43,Thomae,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,19,0,0
44,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,19,0,0
45,jedoch,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,19,0,0
46,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
47,deutschsprachige,0.0,0,0,16,0,0,0,0,0,0,0,0,8,33,19,0,0
48,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,8,19,0,0
49,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,8,19,0,0
50,Nach­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,8,19,0,0
51,kriegszeit,0.0,0,0,10,0,0,0,0,0,0,0,0,8,33,19,0,0
52,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
53,kontinuierlich,0.0,0,0,14,0,0,0,0,0,0,0,0,8,5,19,0,0
54,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
55,Erschei­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,19,0,0
56,nung,0.0,0,0,4,0,0,0,0,0,0,0,0,8,33,19,0,0
57,getretenen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,19,0,0
58,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
59,herausragenden,0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,19,0,0
60,Ver­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
61,treter,0.0,0,0,6,0,0,0,0,0,0,0,0,8,33,19,0,0
62,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
63,biographischen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,5,19,0,0
64,Methode,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,19,0,0
65,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
66,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,33,19,0,0
67,besessen.,0.0,0,0,9,0,0,0,0,0,0,0,0,8,7,19,0,0
68,Seinem,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,7,19,0,0
69,Wirken,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,7,19,0,0
70,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,19,0,0
71,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,7,19,0,0
72,sicher,0.0,0,0,6,0,0,0,0,0,0,0,0,8,33,19,0,0
73,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
74,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,19,0,0
75,"verdanken,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,19,0,0
76,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
77,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
78,Biogra­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,19,0,0
79,phieforschung,0.0,0,0,13,0,0,0,0,0,0,0,0,8,33,19,0,0
80,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
81,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
82,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
83,stets,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
84,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
85,Platz,0.2,1,0,5,0,0,0,0,0,0,0,0,8,33,19,0,0
86,"hatte,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
87,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,19,0,0
88,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
89,"Zeiten,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
90,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
91,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
92,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
