,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,15,145,61,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,15,4,61,0,1
2,Jugendlichkeit,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,165,167,0,0
3,Anleitung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,133,187,0,0
4,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,187,0,0
5,Normalität,0.1,1,0,10,0,0,0,0,0,0,0,0,12,4,187,0,0
6,Christel,0.125,1,0,8,0,0,0,0,0,0,0,0,9,170,212,1,0
7,Schachtner,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,212,1,0
8,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,18,253,0,0
9,Jugendlichkeit,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,3,253,0,0
10,schwebt,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,253,0,0
11,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,253,0,0
12,Leitbild,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,253,0,0
13,über,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,253,0,0
14,allen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,253,0,0
15,"Lebensaltern,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,253,0,0
16,"lockend,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,253,0,0
17,"verführerisch,",0.0,0,0,14,0,0,0,0,0,0,0,0,7,3,253,0,0
18,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,253,0,0
19,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,7,18,16,0,0
20,fordernd.,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
21,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
22,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
23,"untersucht,",0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
24,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
25,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
26,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
27,Bild,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
29,bezug,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
30,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
31,älter,0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,16,0,0
32,werdende,0.0,0,0,8,0,0,0,0,0,0,0,0,7,1,16,0,0
33,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
34,"konkretisiert,",0.0,0,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
35,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,18,16,0,0
