,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,15,123,65,0,1
1,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,70,97,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,97,0,1
3,ökologischen,0.0,0,0,12,0,0,0,0,0,0,0,0,15,4,97,0,1
4,Krise,0.2,1,0,5,0,0,0,0,0,0,0,0,15,4,97,0,1
5,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,35,213,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,213,0,1
7,Umweltkrise,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,213,0,1
8,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,213,0,1
9,menschlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,12,3,213,0,1
10,Naturverhältnis,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,3,213,0,1
11,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,27,239,0,1
12,konzeptionellen,0.0,0,0,15,0,0,0,0,0,0,0,0,11,2,239,0,1
13,Neuorientierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,11,3,239,0,1
14,in,0.0,0,0,2,0,0,0,0,0,0,0,0,11,2,239,0,1
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,239,0,1
16,ökologischen,0.0,0,0,12,0,0,0,0,0,0,0,0,11,2,239,0,1
17,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,2,239,0,1
18,Ralph,0.2,1,0,5,0,0,0,0,0,0,0,0,9,132,264,1,0
19,Sichler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,264,1,0
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,1,264,1,0
21,Hans-JÜTgen,0.36363636363636365,1,0,11,0,0,0,0,0,0,0,0,9,1,264,1,0
