,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,15,135,80,0,1
1,Rechtsradikalismus,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,15,141,114,0,1
2,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,47,184,0,1
3,Symbolik,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,184,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,184,0,1
5,"Metapho,rik",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,4,184,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,184,0,1
7,Fremdenfeindlichkeit,0.05,1,0,20,0,0,0,0,0,0,0,0,12,3,184,0,1
8,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,176,207,1,0
9,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,207,1,0
10,Buchholz,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,207,1,0
11,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,27,237,0,0
12,Zunächst,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,237,0,0
13,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,237,0,0
14,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,237,0,0
15,einige,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,237,0,0
16,Formulierungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,237,0,0
17,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,237,0,0
18,öffentlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,237,0,0
19,Diskurses,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,237,0,0
20,über,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,237,0,0
21,rechte,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,237,0,0
22,Gewalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,237,0,0
23,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,237,0,0
24,Zu­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,237,0,0
25,sammenhang,0.0,0,0,10,0,0,0,0,0,0,0,0,7,27,16,0,0
26,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
28,Asyldebatte,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
29,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
30,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
31,Themen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
32,angeknüpft,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
33,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
34,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
35,tendentiöse,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Metapher,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
37,herausgestellt.,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
38,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
39,Metapher,0.125,1,0,8,0,0,0,0,0,0,0,0,7,27,15,0,0
40,liegen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
41,Schematisierungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,2,15,0,0
42,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,15,0,0
43,a.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,15,0,0
44,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
45,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
46,Körpererfahrung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,15,0,0
47,zugrude.,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,15,0,0
48,Politik,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,15,0,0
49,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,15,0,0
50,so,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,15,0,0
51,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
52,etwas,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,15,0,0
53,Privates,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,15,0,0
54,erfah­,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
55,ren,0.0,0,0,3,0,0,0,0,0,0,0,0,7,27,16,0,0
56,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
57,Loyalitäten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
58,hergestellt,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
59,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
60,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
61,rechte,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
62,Symbolik,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
63,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
64,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
65,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
66,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
67,privat-persönlich,0.0,0,0,17,0,0,0,0,0,0,0,0,7,3,16,0,0
68,erfahrenen,0.0,0,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
69,Wider­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
70,sprüchen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,27,16,0,0
71,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
72,Individuen,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
73,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
75,Modeme,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
76,anknüpfen,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
77,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
78,bietet,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
79,dafür,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
80,ästhetisierende,0.0,0,0,15,0,0,0,0,0,0,0,0,7,3,16,0,0
81,Lösungen,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
82,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
83,gleichzeitiger,0.0,0,0,14,0,0,0,0,0,0,0,0,7,4,16,0,0
84,politischer,0.0,0,0,11,0,0,0,0,0,0,0,0,7,27,15,0,0
85,Entmächtigung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,1,15,0,0
86,an.,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
87,"""",0.0,0,0,1,0,0,0,0,0,0,0,0,7,41,324,1,0
88,Wenn,0.25,1,0,4,0,0,0,0,0,0,0,0,7,1,324,1,0
89,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,324,1,0
90,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,324,1,0
91,heutigen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,324,1,0
92,Psychoanalytiker,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,2,324,1,0
93,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,324,1,0
94,gr6ßeren,0.0,0,0,8,1,0,0,0,0,0,0,0,7,41,16,1,0
95,Teiljeder,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,1,0
96,Stellungnahme,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,1,16,1,0
97,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,1,0
98,politischen,0.0,0,0,11,0,0,0,0,0,0,0,0,7,1,16,1,0
99,Fragen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,41,15,1,0
100,"enthalten,",0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,15,1,0
101,so,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,15,1,0
102,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,1,0
103,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,15,0,0
104,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,15,1,0
