,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,15,117,88,0,1
1,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,15,5,88,0,1
2,Elfenbeinturm,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,15,4,88,0,1
3,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,98,172,0,1
4,Psychologiestudium,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,3,172,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,172,0,1
6,Zukunft,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,172,0,1
7,oder:,0.0,0,0,5,0,0,1,0,0,0,0,0,10,92,198,0,1
8,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,3,198,0,1
9,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,198,0,1
10,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,10,2,198,0,1
11,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,198,0,1
12,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,198,0,1
13,träumen,0.0,0,0,7,0,0,0,0,0,0,0,0,10,3,198,0,1
14,wagen,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,198,0,1
15,Heidelberger,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,86,220,1,0
16,Arbeitsgruppe,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,220,1,0
17,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,220,1,0
18,Erneuerung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,220,1,0
19,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,220,1,0
