,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Einzelbeitrag,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,15,168,90,0,1
1,Freud-Iose,0.2,1,0,10,0,0,0,0,0,0,0,0,12,139,174,0,1
2,Psychoanalyse?,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,3,174,0,1
3,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,54,200,0,1
4,Schicksal,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,3,200,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,200,0,1
6,Triebtheorie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,2,200,0,1
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,200,0,1
8,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,200,0,1
9,Bedeutungswandel,0.0625,1,0,16,0,0,0,0,0,0,0,0,10,3,200,0,1
10,des,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,200,0,1
11,Krankheitsverständnisses,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,10,65,24,0,1
12,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,24,0,1
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,24,0,1
14,"""modernen""",0.0,0,0,10,0,0,0,0,0,0,0,0,10,2,24,0,1
15,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,3,24,0,1
16,Irma,0.25,1,0,4,0,0,0,0,0,0,0,0,8,196,236,1,0
17,Gleiss,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,236,1,0
18,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,28,279,0,0
19,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,279,0,0
20,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,279,0,0
21,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,279,0,0
22,soll,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,279,0,0
23,gezeigt,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,279,0,0
24,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,279,0,0
25,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,279,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,279,0,0
27,Verzicht,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,279,0,0
28,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,279,0,0
29,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,279,0,0
30,Freudsche,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,279,0,0
31,"Triebtheorie,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,279,0,0
32,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,279,0,0
33,er,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,279,0,0
34,fllr,0.0,0,0,4,0,0,0,0,0,0,0,0,7,28,16,0,0
35,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
36,"""modemen""",0.0,0,0,9,0,0,0,0,0,0,0,0,7,4,16,0,0
37,psychoanalytischen,0.0,0,0,18,0,0,0,0,0,0,0,0,7,4,16,0,0
38,Diskurs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,4,16,0,0
39,geradezu,0.0,0,0,8,0,0,0,0,0,0,0,0,7,4,16,0,0
40,typisch,0.0,0,0,7,0,0,0,0,0,0,0,0,7,4,16,0,0
41,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,7,4,16,0,0
42,folgenschwere,0.0,0,0,13,0,0,0,0,0,0,0,0,7,4,16,0,0
43,praktische,0.0,0,0,10,0,0,0,0,0,0,0,0,7,5,16,0,0
44,Konsequenzen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,4,16,0,0
45,(Krankheitsverständnis,0.045454545454545456,0,0,22,0,0,0,0,0,0,0,0,7,28,16,0,0
46,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
47,Therapiemodell),0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,16,0,0
48,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
49,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
50,bringt,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
51,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,3,16,0,0
52,insbesondere,0.0,0,0,12,0,0,0,0,0,0,0,0,7,5,16,0,0
53,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
54,letztlich,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
55,"vor-freudsche,",0.0,0,0,14,0,0,0,0,0,0,0,0,7,3,16,0,0
56,abstrakte,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
57,Gegenüberstellung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,28,16,0,0
58,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
59,krank,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,16,0,0
60,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
61,"normal,",0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
62,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
63,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
64,heißt:,0.0,0,0,6,0,0,1,0,0,0,0,0,7,4,16,0,0
65,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
66,verklllrende,0.0,0,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
67,Beschönigung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
68,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
