,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,15,143,87,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,15,4,87,0,1
2,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,108,166,0,1
3,Flimmern,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,166,0,1
4,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,166,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,2,166,0,1
6,Leinwand:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,12,3,166,0,1
7,Psychotherapieforschung,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,12,69,29,0,1
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,29,0,1
9,Psychotherapiel,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,14,4,29,0,1
10,Eva,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,186,205,1,0
11,Jaeggi,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,205,1,0
12,Daß,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,17,251,0,0
13,Psychotherapieforschung,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,8,2,251,0,0
14,"dann,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,251,0,0
15,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,251,0,0
16,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,251,0,0
17,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,17,20,0,0
18,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,20,0,0
19,Machtträgern,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,7,20,0,0
20,"verbindet,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,7,20,0,0
21,eminent,0.0,0,0,7,0,0,0,0,0,0,0,0,8,7,20,0,0
22,wichtig,0.0,0,0,7,0,0,0,0,0,0,0,0,8,17,20,0,0
23,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
24,"kann,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,20,0,0
25,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
27,jüngste,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
28,Ent­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
29,wicklung,0.0,0,0,8,0,0,0,0,0,0,0,0,8,17,19,0,0
30,"bewiesen,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
31,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
32,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
33,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
34,Fachgut­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,19,0,0
35,achten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,17,20,0,0
36,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
37,Grawe,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
38,(1991),0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,20,0,0
39,plötzlich,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
40,Therapie­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
41,schulenvertreter,0.0,0,0,16,0,0,0,0,0,0,0,0,8,17,20,0,0
42,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,9,20,0,0
43,Therapeuten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,9,20,0,0
44,aufge­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,9,20,0,0
45,scheucht,0.0,0,0,8,0,0,0,0,0,0,0,0,8,17,20,0,0
46,"wurden,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
47,weil,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
48,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
49,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
50,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
51,Pfründe,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
52,bangen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,17,19,0,0
53,mußten.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
54,Folgegutachten,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,31,19,0,0
55,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
56,Gegengutachten,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,19,0,0
