,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"Person,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,15,43,93,0,1
1,"Wissenschaft,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,15,3,93,0,1
2,Geschlechterverhältnis,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,15,5,93,0,1
3,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,12,177,177,0,1
4,Gespräch:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,12,4,177,0,1
5,Anna,0.25,1,0,4,0,0,0,0,0,0,0,0,12,59,194,0,1
6,Rosmus,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,194,0,1
7,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,194,0,1
8,Angelika,0.125,1,0,8,0,0,0,0,0,0,0,0,12,2,194,0,1
9,Faas,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,194,0,1
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,194,0,1
11,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,194,0,1
12,Krauß,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,194,0,1
13,AnnaRosmus,0.2,1,0,10,0,0,0,0,0,0,0,0,8,92,516,0,0
14,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,240,279,0,0
15,Person:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,7,2,279,0,0
16,1980,0.0,0,0,4,4,0,0,0,0,0,1,1,7,241,298,0,0
17,begann,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,298,0,0
18,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,298,0,0
19,damals,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,298,0,0
20,20-jahrige,0.0,0,0,10,2,0,0,0,0,0,0,0,7,3,298,0,0
21,Anna,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,298,0,0
22,Rosmus,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,298,0,0
23,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,240,16,0,0
24,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
25,Nachforschungen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
26,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
27,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
28,Schüleraufsatz­,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
29,Wettbewerb,0.1,1,0,10,0,0,0,0,0,0,0,0,7,240,16,0,0
30,über,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
31,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
32,",,Alltag",0.125,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
33,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
34,Dritten,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
35,"Reiches"".",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Dies,0.25,1,0,4,0,0,0,0,0,0,0,0,7,240,16,0,0
37,konfrontierte,0.0,0,0,13,0,0,0,0,0,0,0,0,7,3,16,0,0
38,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
39,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
40,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
41,Verdrllngungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,3,16,0,0
42,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
43,bundesdeutschen,0.0,0,0,15,0,0,0,0,0,0,0,0,7,240,16,0,0
44,Nachkriegszeit.,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,16,0,0
45,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
46,selber,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
47,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
48,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,240,16,0,0
49,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
50,Augen,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
51,vieler,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
52,Mitbürger,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
53,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
54,"""Nestbeschmut­",0.07142857142857142,0,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
55,"zerin"".",0.0,0,0,7,0,0,0,0,0,0,0,0,7,240,16,0,0
56,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
57,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
58,Recherchen,0.1,1,0,10,0,0,0,0,0,0,0,0,7,5,16,0,0
59,entstand,0.0,0,0,8,0,0,0,0,0,0,0,0,7,5,16,0,0
60,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
61,erstes,0.0,0,0,6,0,0,0,0,0,0,0,0,7,4,16,0,0
62,Buch,0.25,1,0,4,0,0,0,0,0,0,0,0,7,240,16,0,0
63,über,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
64,Widerstand,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,1,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,1,0
66,Verfolgung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,1,0
67,am,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,1,0
68,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,1,0
69,Passau,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,240,16,1,0
70,1933-1939,0.0,0,0,9,8,0,0,0,0,0,0,0,7,3,16,0,0
71,(1983).,0.0,0,0,7,4,0,0,0,0,0,0,0,7,2,16,0,0
72,Wegen,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
