,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Frank,0.2,1,0,5,0,0,0,0,0,0,0,0,8,24,32,1,0
1,Mehler,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,32,1,0
2,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,98,72,0,1
3,Verhalten,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,72,0,1
4,jugendlicher,0.0,0,0,12,0,0,0,0,0,0,0,0,12,3,72,0,1
5,Neonazis:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,12,3,72,0,1
6,Welchen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,74,29,0,1
7,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,29,0,1
8,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,29,0,1
9,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,29,0,1
10,Theorie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,29,0,1
11,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,29,0,1
12,"""neuen",0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,29,0,1
13,"Sozialisationstyp""",0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,137,29,0,1
14,leisten?,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,29,0,1
15,Frank,0.2,1,0,5,0,0,0,0,0,0,0,0,8,187,129,1,0
16,Mehler,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,129,1,0
17,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,24,170,0,0
18,In,0.5,1,0,2,0,0,0,0,0,0,0,0,7,2,170,0,0
19,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,170,0,0
