,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Solveigh,0.125,1,0,8,0,0,0,0,0,0,0,0,8,26,36,1,0
1,Niewarra,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,36,1,0
2,"""Und",0.25,0,0,4,0,0,0,0,0,0,0,0,12,32,76,0,1
3,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,76,0,1
4,is',0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,76,0,1
5,Gewalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,76,0,1
6,eben,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,76,0,1
7,halt,0.0,0,0,4,0,0,0,0,0,0,0,0,12,4,76,0,1
8,'ne,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,76,0,1
9,logische,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,76,0,1
10,"Schlußfolgerung""",0.0625,1,0,16,0,0,0,0,0,0,0,0,12,3,76,0,1
11,Subjektive,0.1,1,0,10,0,0,0,0,0,0,0,0,10,113,101,0,1
12,KonOikt-,0.25,1,0,8,0,0,0,0,0,0,0,0,10,2,101,0,1
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,101,0,1
14,Gewalttheorien,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,10,3,101,0,1
15,von,0.0,0,0,3,0,0,0,0,0,0,0,0,10,132,24,0,1
16,Jugendgruppen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,3,24,0,1
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,24,0,1
18,Ost-Berlin,0.2,1,0,10,0,0,0,0,0,0,0,0,10,3,24,0,1
19,Solveigh,0.125,1,0,8,0,0,0,0,0,0,0,0,8,179,138,1,0
20,Niewiarra,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,138,1,0
21,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,27,181,0,0
22,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,181,0,0
23,Rahmen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,181,0,0
24,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,181,0,0
25,zugrundeliegenden,0.0,0,0,17,0,0,0,0,0,0,0,0,7,2,181,0,0
