,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,8,29,38,1,0
1,Ottomeyer,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,38,1,0
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,38,1,0
3,Ines,0.25,1,0,4,0,0,0,0,0,0,0,0,8,1,38,1,0
4,Schöffmann,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,38,1,0
5,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,87,78,0,1
6,Haider-Inszenierung,0.10526315789473684,1,0,19,0,0,0,0,0,0,0,0,12,3,78,0,1
7,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,78,0,1
8,"""Schiefheilung""",0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,12,3,78,0,1
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,115,29,0,1
10,faschistische,0.0,0,0,13,0,0,0,0,0,0,0,0,12,4,29,0,1
11,Männerphantasie,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,4,29,0,1
12,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,8,144,118,1,0
13,Ottomeyer,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,118,1,0
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,118,1,0
15,Ines,0.25,1,0,4,0,0,0,0,0,0,0,0,8,1,118,1,0
16,Schöffmann,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,118,1,0
17,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,30,172,0,0
18,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,172,0,0
19,Faszination,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,172,0,0
20,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,172,0,0
21,rechten,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,172,0,0
22,Politikers,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,172,0,0
23,Jörg,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,172,0,0
24,Haider,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,172,0,0
25,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,172,0,0
26,Österreich,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,172,0,0
27,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,172,0,0
28,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,172,0,0
29,Mitteln,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,172,0,0
30,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,172,0,0
31,szeni­,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,172,0,0
32,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,29,16,0,0
33,Verstehens,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
34,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
35,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Klagenfurter,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
37,Forschergruppe,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
38,untersucht.,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
39,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
40,handelt,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
41,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
42,um,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
43,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
44,Inszenierung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
45,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
46,meh­,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
47,reren,0.0,0,0,5,0,0,0,0,0,0,0,0,7,30,16,0,0
48,"BUhnen,",0.2857142857142857,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
49,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
50,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
51,Haider,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
52,abwechselnd,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
53,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
54,intergenerationeller,0.0,0,0,20,0,0,0,0,0,0,0,0,7,2,16,0,0
55,Familientherapeut,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,2,16,0,0
56,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
57,bezug,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
58,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
59,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
60,NS-Vergangen­,0.23076923076923078,1,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
61,"heit,",0.0,0,0,5,0,0,0,0,0,0,0,0,7,30,16,0,0
62,als.,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
63,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
64,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
65,Robin,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
66,Hood,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
67,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
68,"Django,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
69,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
70,großer,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
71,"Gemeinschaftsbildner,",0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,7,2,16,0,0
72,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
73,erotischer,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
74,FUhrer,0.3333333333333333,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
75,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
76,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
77,männer­,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
78,bUndlerisc!'er,0.07142857142857142,0,0,14,0,0,0,0,0,0,0,0,7,30,16,0,0
79,Bezwinger,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
80,weiblicher,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
81,Bedrohungsbilder,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,2,16,0,0
82,agiert.,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
83,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
84,letztere,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
85,Aspekt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
86,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
87,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
