,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,309,31,1,0
1,heroische,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,31,1,0
2,Subjekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,31,1,0
3,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,91,71,0,1
4,heroische,0.0,0,0,9,0,0,0,0,0,0,0,0,12,4,71,0,1
5,Subjekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,71,0,1
6,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,71,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,71,0,1
8,Moderne,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,71,0,1
9,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,8,174,94,1,0
10,Bialas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,94,1,0
11,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,15,131,0,0
12,Geprobt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,131,0,0
13,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,131,0,0
14,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,131,0,0
15,Übersetzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,131,0,0
16,postmoderner,0.0,0,0,12,0,0,0,0,0,0,0,0,7,3,131,0,0
17,negativ-subjektphilosophischer,0.0,0,0,30,0,0,0,0,0,0,0,0,7,3,131,0,0
18,Rhetorik,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,131,0,0
19,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,131,0,0
20,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,131,0,0
21,emanzipationstheoretischen,0.0,0,0,26,0,0,0,0,0,0,0,0,7,15,16,0,0
22,Zyklus,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
24,"Entstehung,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
25,Frustration,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
27,Verarbeitung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
28,heroischer,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
29,Illusionen,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
30,über,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
31,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
32,In­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
33,terventionsmöglichkeiten,0.0,0,0,24,0,0,0,0,0,0,0,0,7,15,16,0,0
34,historischer,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
35,Subjekte.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Dadurch,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
37,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
38,es,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
39,"möglich,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
40,sowohl,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
41,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
