,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,15,131,69,0,1
1,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,98,112,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,112,0,1
3,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,4,112,0,1
4,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,131,196,0,1
5,gestrauchelte,0.0,0,0,13,0,0,0,0,0,0,0,0,12,3,196,0,1
6,Souverän,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,196,0,1
7,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,50,226,0,1
8,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,10,2,226,0,1
9,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,226,0,1
10,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,226,0,1
11,Subjekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,226,0,1
12,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,226,0,1
13,den,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,226,0,1
14,Post-Theorien,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,10,3,226,0,1
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,226,0,1
16,Moderne,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,2,226,0,1
17,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,8,177,249,1,0
18,Hegener,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,249,1,0
19,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,23,280,0,0
20,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,280,0,0
21,geht,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,280,0,0
22,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,280,0,0
23,Post-Theoretikern,0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,7,3,280,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,280,0,0
25,"Modeme,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,280,0,0
26,so,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,280,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,280,0,0
28,Ausgangspunkt,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,280,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,280,0,0
30,"Überlegungen,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,280,0,0
31,weder,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,280,0,0
32,um,0.0,0,0,2,0,0,0,0,0,0,0,0,7,23,16,0,0
33,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
34,Ankündigung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
35,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
36,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
37,Epoche,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
38,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
39,um,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
40,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
41,Liquidierung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
42,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
43,"Subjekts,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
44,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
45,um,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
46,dessen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
47,Dezentrierung.,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
48,In,0.5,1,0,2,0,0,0,0,0,0,0,0,7,23,16,0,0
49,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
50,ersten,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
51,Schritt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
52,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
53,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
54,Foucault,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
55,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
56,historischen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
57,Koordinaten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
58,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
59,Herausbildung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
60,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
61,modemen,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
62,Subjekts,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
63,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,23,16,0,0
64,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
65,Entstehung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
66,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
67,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
68,skizziert,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
69,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
70,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
71,theoretischen,0.0,0,0,13,0,0,0,0,0,0,0,0,7,3,16,0,0
72,Schwierigkeiten,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,16,0,0
73,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
74,Position,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
75,benannt.,0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
76,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
77,zweiten,0.0,0,0,7,0,0,0,0,0,0,0,0,7,23,16,0,0
78,Schritt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
79,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
80,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
81,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
82,Hilfe,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
83,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
84,Derridaschen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
85,FreudlektUre,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
86,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
87,Charakteristika,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,16,0,0
88,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
89,Subjekts,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
90,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
91,Unbe­,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
92,wußten,0.0,0,0,6,0,0,0,0,0,0,0,0,7,23,16,0,0
93,"beschrieben,",0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
94,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
95,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
96,zeitlich,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
97,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
98,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
