,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Kritische,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,256,30,1,0
1,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,30,1,0
2,am,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,30,1,0
3,Grabmal,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,30,1,0
4,Kritische,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,44,69,0,1
5,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,69,0,1
6,am,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,69,0,1
7,Grabmal,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,69,0,1
8,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,69,0,1
9,Intellektuellen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,3,69,0,1
10,"""Handlungsfahigkeit""",0.05,0,0,20,0,0,0,0,0,0,0,0,10,88,95,0,1
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,95,0,1
12,postmoderner,0.0,0,0,12,0,0,0,0,0,0,0,0,10,3,95,0,1
13,Sicht1,0.16666666666666666,1,0,6,1,0,0,0,0,0,0,0,10,2,95,0,0
14,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,8,179,118,1,0
15,Mattes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,118,1,0
16,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,14,158,0,0
17,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,158,0,0
18,Philosophie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,158,0,0
19,"meint,",0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,158,0,0
20,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,158,0,0
21,"""großen",0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,158,0,0
22,"Erzählungen""",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,158,0,0
23,seien,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,158,0,0
24,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,158,0,0
25,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,158,0,0
26,möglich.,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,158,0,0
27,Dies,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,158,0,0
28,for­,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,158,0,0
29,dert,0.0,0,0,4,0,0,0,0,0,0,0,0,7,14,16,0,0
30,jene,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
31,Psychologien,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
32,"heraus,",0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
33,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
34,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
35,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
36,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
37,tätige,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
38,Subjekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
39,beziehen.,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
40,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
41,betrifft,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
42,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
43,kritisch-psychologische,0.0,0,0,23,0,0,0,0,0,0,0,0,7,2,16,0,0
44,An­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
45,"satze,",0.0,0,0,6,0,0,0,0,0,0,0,0,7,13,16,0,0
46,insbesondere,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
47,Holzkamps,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
48,Subjektpsychologie.,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,7,2,16,0,0
49,Ist,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
50,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
51,Lichte,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
52,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
53,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
54,Kritische,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
55,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
56,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
57,Schat­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
58,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,7,14,16,0,0
59,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
60,entschwindenden,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
61,Diskurses?,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
62,Diese,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
63,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
64,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
65,diskutiert,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
66,anband,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
67,Lyotards,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
68,These,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
