,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,16,97,82,0,0
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,82,0,0
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,16,5,82,0,0
3,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,111,166,0,0
4,Wiederkehr,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,166,0,0
5,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,166,0,0
6,Behemoth,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,166,0,0
7,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,86,197,0,0
8,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,11,2,197,0,0
9,Spiel,0.2,1,0,5,0,0,0,0,0,0,0,0,11,3,197,0,0
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,11,3,197,0,0
11,Bürgerkrieg,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,3,197,0,0
12,Brigitte,0.125,1,0,8,0,0,0,0,0,0,0,0,8,157,220,1,0
13,Rauschenbach,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,220,1,0
14,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,11,251,0,0
15,In,0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,251,0,0
16,seinen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,251,0,0
17,zeitgeschichtlichen,0.0,0,0,19,0,0,0,0,0,0,0,0,7,2,251,0,0
18,Analysen,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,251,0,0
19,gab,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,251,0,0
20,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,251,0,0
21,Hobbes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,251,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,251,0,0
23,Grunderfahrung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,3,251,0,0
24,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,251,0,0
25,Bürger­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,251,0,0
26,kriegs,0.0,0,0,6,0,0,0,0,0,0,0,0,7,11,16,0,0
27,am,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
