,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Authentizität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,264,33,1,0
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,33,1,0
2,Selbsterhaltung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,1,33,1,0
3,Authentizität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,104,73,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,73,0,1
5,Selbsterhaltung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,4,73,0,1
6,Einige,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,60,103,0,1
7,Argumente,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,2,103,0,1
8,wider,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,103,0,1
9,den,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,103,0,1
10,Affekt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,3,103,0,1
11,gegen,0.0,0,0,5,0,0,0,0,0,0,0,0,10,2,103,0,1
12,das,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,103,0,1
13,Besondere,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,3,103,0,1
14,Wi//em,0.16666666666666666,1,0,6,0,2,0,0,0,0,0,0,8,170,126,1,0
15,van,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,126,1,0
16,Reijen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,126,1,0
17,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,14,180,0,0
18,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,180,0,0
19,Selbstmord,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,180,0,0
20,Kleists,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,180,0,0
21,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,180,0,0
22,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,180,0,0
23,Anlaß,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,180,0,0
24,genommen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,180,0,0
25,"worden,",0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,180,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,180,0,0
27,Hintergründe,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,180,0,0
