,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Buchbesprechungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,15,126,85,0,1
1,Ricbard,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,12,186,0,0
2,Rorty:,0.16666666666666666,1,0,6,0,0,1,0,0,0,0,0,8,2,186,0,0
3,"Kontingenz,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,186,0,0
4,Ironie,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,186,0,0
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,186,0,0
6,Solidarität.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,12,19,0,0
7,FrankfurtlM.,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
8,"1992,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,3,19,0,0
9,subrkamp,0.0,0,0,8,0,0,0,0,0,0,0,0,8,12,20,0,0
10,tascbenbucb,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
11,wissenscbaft,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
12,"""Wenn",0.2,0,0,5,0,0,0,0,0,0,0,0,8,12,231,0,0
13,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,231,0,0
14,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,231,0,0
15,Zufall,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,231,0,0
16,ftlr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,231,0,0
17,unwürdig,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,231,0,0
18,"hält,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,231,0,0
19,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,12,20,0,0
20,unser,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
21,Schicksal,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,5,20,0,0
22,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
23,"entscheiden,",0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,20,0,0
24,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
25,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
26,bloß,0.0,0,0,4,0,0,0,0,0,0,0,0,8,12,20,0,0
27,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
28,Rückfall,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,20,0,0
29,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
31,fromme,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
32,Weltan­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
33,schauung,0.0,0,0,8,0,0,0,0,0,0,0,0,8,12,20,0,0
34,"....""",0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
35,(Sigmund,0.125,0,0,8,0,0,0,0,0,0,0,0,8,5,20,0,0
36,"Freud,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
37,Studienaus­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,20,0,0
38,"gabe,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,11,19,0,0
39,Bd.,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
40,"X,",0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
41,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
42,158).,0.0,0,0,5,3,0,0,0,0,0,0,0,8,4,19,0,0
43,Diese,0.2,1,0,5,0,0,0,0,0,0,0,0,8,11,298,0,0
44,Passage,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,298,0,0
45,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,298,0,0
46,Freuds,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,298,0,0
47,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,298,1,0
48,Kindheitser­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,298,1,0
49,innerung,0.0,0,0,8,0,0,0,0,0,0,0,0,8,12,20,1,0
50,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
51,Leonardo,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,1,0
52,fla,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,1,0
53,Vinci,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,1,0
54,zentriert,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
55,Ri­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
56,chard,0.0,0,0,5,0,0,0,0,0,0,0,0,8,11,20,0,0
57,Rortys,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
58,Argumentations-,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,4,20,0,0
59,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
60,Interpre­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
61,tationsperspektive,0.0,0,0,18,0,0,0,0,0,0,0,0,8,11,20,0,0
62,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,7,20,0,0
63,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
64,"Buch,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,7,20,0,0
65,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
66,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,8,7,20,0,0
67,knapp,0.0,0,0,5,0,0,0,0,0,0,0,0,8,11,20,0,0
