,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,15,154,82,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,15,4,82,0,1
2,Um-Welt,0.2857142857142857,1,0,7,0,0,0,0,0,0,0,0,12,70,166,0,1
3,-,0.0,0,0,1,0,0,0,0,0,0,0,0,12,2,166,0,1
4,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,12,6,166,0,1
5,Schlüsselbegriff,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,4,166,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,2,166,0,1
7,Postmoderne?,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,166,0,1
8,Volleer,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,190,189,1,0
9,Schurig,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,189,1,0
10,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,28,220,0,0
11,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,220,0,0
12,Modeme,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,220,0,0
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,220,0,0
14,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,220,0,0
15,kritische,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,220,0,0
16,Reflektion,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,220,0,0
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,220,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,220,0,0
19,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,1,220,0,0
20,besitzen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,220,0,0
21,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,220,0,0
22,unmittelbar,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,220,0,0
23,lebens­,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,220,0,0
24,praktischen,0.0,0,0,11,0,0,0,0,0,0,0,0,7,28,16,0,0
25,Hintergrund:,0.08333333333333333,1,0,12,0,0,1,0,0,0,0,0,7,3,16,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
27,Umweltkrise.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
28,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
29,Begrenzung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
31,Naturressourcen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,16,0,0
32,entspricht,0.0,0,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
33,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
34,Endlichkeit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
35,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
36,"""Fortschritts""",0.07142857142857142,0,0,14,0,0,0,0,0,0,0,0,7,28,16,0,0
37,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
38,Motor,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
39,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
40,Modeme.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
41,In,0.5,1,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
42,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
43,Aufsatz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
44,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
45,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
46,historische,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
47,Entstehung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
48,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
49,Umweltbegriffs,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
50,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
51,sei­,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
52,ne,0.0,0,0,2,0,0,0,0,0,0,0,0,7,28,16,0,0
53,gegenwärtige,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
54,Entfaltung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
55,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
56,Umweltbewußtsein,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,2,16,0,0
57,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
58,postmodernen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
59,Diskurs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
60,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
61,Beziehung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
62,gesetzt.,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
63,Ende,0.25,1,0,4,0,0,0,0,0,0,0,0,8,28,292,0,0
64,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,292,0,0
65,20.,0.0,0,0,3,2,0,0,0,0,0,0,1,8,5,292,0,0
66,Jahrhunderts,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,292,0,0
67,entläßt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,292,0,0
68,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,292,0,0
69,Mo­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,292,0,0
70,deme,0.0,0,0,4,0,0,0,0,0,0,0,0,8,28,19,0,0
71,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
72,Endpunkt,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
73,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
74,Aufklärung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
75,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
76,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
77,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,28,19,0,0
78,widersprüchliche,0.0,0,0,16,0,0,0,0,0,0,0,0,8,3,19,0,0
79,Verdichtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,19,0,0
80,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
81,Um­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
82,wertung,0.0,0,0,7,0,0,0,0,0,0,0,0,8,28,19,0,0
83,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
84,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,19,0,0
85,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,19,0,0
86,angelegten,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,19,0,0
87,Tendenzen:,0.1,1,0,10,0,0,1,0,0,0,0,0,8,5,19,0,0
88,Dieser,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,28,19,0,0
89,Bruch,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
90,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
91,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
92,Gegenstand,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
93,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
94,postmo­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
95,dernen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,28,19,0,0
96,Diskurses.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,19,0,0
97,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
98,Angelpunkt,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
99,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
100,post­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
101,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,28,19,0,0
102,Unbehagens,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,19,0,0
103,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,19,0,0
104,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
105,Modeme,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,19,0,0
106,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
107,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,28,19,0,0
108,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
109,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
110,"Fortschritts,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,19,0,0
111,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
112,zunächst,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
113,kri­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
114,tisch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,28,19,0,0
115,betrachtet,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,19,0,0
116,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
117,schließlich,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,19,0,0
118,negativ,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
119,um­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
120,gewertet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,28,20,0,0
121,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
122,"""Fortschritt""",0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,8,3,20,0,0
123,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
124,zunehmend,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
125,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
126,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,28,19,0,0
127,Metapher,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
128,geworden,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
129,ftlr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,19,0,0
