,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Einzelbeitrag,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,15,156,84,0,1
1,Response,0.125,1,0,8,0,0,0,0,0,0,0,0,12,67,168,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,168,0,1
3,Responsivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,3,168,0,1
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,168,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,168,0,1
6,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,168,0,1
7,Bernhard,0.125,1,0,8,0,0,0,0,0,0,0,0,8,165,190,1,0
8,Waldenfels,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,190,1,0
9,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,15,233,0,0
10,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,233,0,0
11,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,233,0,0
12,greift,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,233,0,0
13,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,233,0,0
14,bekannte,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,233,0,0
15,Konzept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,233,0,0
16,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,233,0,0
17,Response,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,233,0,0
18,"auf,",0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,233,0,0
19,indem,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,233,0,0
20,er,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,233,0,0
21,es,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,233,0,0
22,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,233,0,0
23,seinem,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,233,0,0
24,behavioristi­,0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,233,0,0
25,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,16,16,0,0
26,Beiwerk,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
27,befreit,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
28,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
29,es,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
30,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
31,Korrektiv,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
32,empfiehlt,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
33,gegen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
34,kognitivistische,0.0,0,0,16,0,0,0,0,0,0,0,0,7,2,16,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
36,funktionalistische,0.0,0,0,18,0,0,0,0,0,0,0,0,7,2,16,0,0
37,Tendenzen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
38,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
39,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
40,"Psychologie,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,15,16,0,0
41,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
42,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
43,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
44,sozialtechnologische,0.0,0,0,20,0,0,0,0,0,0,0,0,7,2,16,0,0
45,Normalisierung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
46,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
47,Verhaltens,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
48,hinauslaufen.,0.0,0,0,13,0,0,0,0,0,0,0,0,7,3,16,0,0
49,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
50,Grundzug,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
51,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
52,Re­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
53,"sponsivität,",0.0,0,0,12,0,0,0,0,0,0,0,0,7,15,16,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
55,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
56,K.,0.5,1,0,2,0,0,0,0,0,0,0,0,7,1,16,0,0
57,Goldsteins,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
58,Bestimmung,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
59,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
60,Krankheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
61,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
62,mangelnde,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
63,Responsivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
64,"zurückverweist,",0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
65,steht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
66,filr,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
67,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,7,15,16,0,0
68,"Verhalten,",0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
69,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
70,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
71,bloß,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
72,repetitiv,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
73,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
74,Regeln,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
75,"abläuft,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
76,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
77,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
78,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
79,kreativ,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
80,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
81,bestehenden,0.0,0,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
82,Regeln,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
83,abweicht,0.0,0,0,8,0,0,0,0,0,0,0,0,7,15,16,0,0
84,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
85,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
86,Antwort,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
87,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
88,AnsprUche,0.2222222222222222,1,0,9,0,0,0,0,0,0,0,0,7,1,16,0,0
89,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
90,Fremden.,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
91,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
