,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,131,62,0,1
1,Geschlechterverhältnisse,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,16,117,105,0,1
2,Körperpolitik,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,172,212,0,1
3,Gitta,0.2,1,0,5,0,0,0,0,0,0,0,0,8,176,280,1,0
4,Mühlen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,280,1,0
5,Achs,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,280,1,0
6,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,122,242,0,1
7,Rolle,0.2,1,0,5,0,0,0,0,0,0,0,0,10,2,242,0,1
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,242,0,1
9,Körpersprache,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,2,242,0,1
10,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,242,0,1
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,242,0,1
12,symbolischen,0.0,0,0,12,0,0,0,0,0,0,0,0,10,59,25,0,1
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,1
14,interaktiven,0.0,0,0,12,0,0,0,0,0,0,0,0,10,3,25,0,1
15,Konstruktion,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,3,25,0,1
16,von,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,25,0,1
17,Geschlecht,0.1,1,0,10,0,0,0,0,0,0,0,0,10,3,25,0,1
18,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,22,323,0,0
19,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,323,0,0
20,kulturell,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,323,0,0
21,motivierte,0.0,0,0,10,0,0,0,0,0,0,0,0,7,3,323,0,0
22,machtsymbolische,0.0,0,0,16,0,0,0,0,0,0,0,0,7,3,323,0,0
23,Codierung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,323,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,323,0,0
25,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,323,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,323,0,0
27,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,323,0,0
28,Verinnerlichung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,323,0,0
29,ri­,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,323,0,0
30,tualisierter,0.0,0,0,12,0,0,0,0,0,0,0,0,7,22,16,0,0
31,Dominanz-,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
32,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
33,Unterwerfungsmuster,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,7,2,16,0,0
34,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
35,angemessener,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Ausdruck,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
37,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
