,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Buchbesprechungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,15,146,75,0,1
1,Lilli,0.2,1,0,5,0,0,0,0,0,0,0,0,9,32,188,0,0
2,Gast,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,188,0,0
3,Libido,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,32,19,0,0
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
5,Narzißmus:,0.1,1,0,10,0,0,1,0,0,0,0,0,9,3,19,0,0
6,Vom,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,19,0,0
7,Verlust,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,19,0,0
8,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,19,0,0
9,Sexuellen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,32,20,0,0
10,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
11,psychoanalytischen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,3,20,0,0
12,Diskurs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
13,­,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,20,0,0
14,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,9,32,20,0,0
15,Spurensicherung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
16,Tübingen:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,9,32,20,0,0
17,edition,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
18,diskord,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
19,"1992,446",0.0,0,0,8,7,0,0,0,0,0,0,0,9,3,20,0,0
20,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
21,Noch,0.25,1,0,4,0,0,0,0,0,0,0,0,9,32,266,0,0
22,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,6,266,0,0
23,Monographie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,6,266,0,0
24,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,266,0,0
25,Narzißmus?,0.1,1,0,10,0,0,0,0,0,0,0,0,9,6,266,0,0
26,Gibt,0.25,1,0,4,0,0,0,0,0,0,0,0,9,32,20,0,0
27,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
28,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
29,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,20,0,0
30,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
31,viele,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
32,Äußerungen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
33,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
34,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,32,20,0,0
35,verführerischen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
36,Thema?,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
37,Doch,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
38,Lilli,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
39,Gasts,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,20,0,0
40,Untertitel,0.1,1,0,10,0,0,0,0,0,0,0,0,9,32,20,0,0
41,signalisiert,0.0,0,0,12,0,0,0,0,0,0,0,0,9,7,20,0,0
42,Dringlichkeit:,0.07142857142857142,1,0,14,0,0,1,0,0,0,0,0,9,6,20,0,0
43,"""Vom",0.25,0,0,4,0,0,0,0,0,0,0,0,9,7,20,0,0
