,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,96,83,0,1
1,in,0.0,0,0,2,0,0,0,0,0,0,0,0,15,4,83,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,15,5,83,0,1
3,Berufspraxis,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,83,0,1
4,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,66,168,0,1
5,"""Gespenst",0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,12,4,168,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,168,0,1
7,"Postmoderne""",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,168,0,1
8,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,168,0,1
9,Krankenhaus,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,4,168,0,1
10,Gedanken,0.125,1,0,8,0,0,0,0,0,0,0,0,10,74,193,0,1
11,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,193,0,1
12,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,193,0,1
13,postmodernen,0.0,0,0,12,0,0,0,0,0,0,0,0,10,2,193,0,1
14,Management-Haltung,0.1111111111111111,1,0,18,0,0,0,0,0,0,0,0,10,3,193,0,1
15,Gabriele,0.125,1,0,8,0,0,0,0,0,0,0,0,8,182,216,1,0
16,M,1.0,1,0,1,0,0,0,0,0,0,0,0,8,2,216,1,0
17,Borsi,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,216,1,0
18,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,28,247,0,0
19,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,247,0,0
20,These,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,247,0,0
