,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,297,21,1,0
1,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,1,0
2,Jugendkultur,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,21,1,0
3,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,136,60,0,1
4,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,60,0,1
5,Jugendkultur,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,3,60,0,1
6,Klaus-Jürgen,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,8,185,87,1,0
7,Bruder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,87,1,0
8,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,37,129,0,0
9,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,129,0,0
10,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,129,0,0
11,über,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,129,0,0
12,postmoderne,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,129,0,0
13,Jugend,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,129,0,0
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,129,0,0
15,Jugendkultur,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,129,0,0
16,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,129,0,0
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,129,0,0
18,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,129,0,0
19,Kontext,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,129,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,129,0,0
21,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,129,0,0
22,über,0.0,0,0,4,0,0,0,0,0,0,0,0,7,37,15,0,0
23,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
24,Status,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
26,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,15,0,0
27,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,15,0,0
28,Diskurs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,15,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
30,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,15,0,0
31,gestellt.,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,15,0,0
32,"""Nun",0.25,0,0,4,0,0,0,0,0,0,0,0,8,37,177,0,0
33,da,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,177,0,0
34,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,177,0,0
35,Zeiten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,177,0,0
36,härter,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,177,0,0
37,geworden,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,177,0,0
38,"sind,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,177,0,0
39,vielleicht,0.0,0,0,10,0,0,0,0,0,0,0,0,8,37,19,0,0
40,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
41,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
42,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
43,Krisen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
44,deutlicher,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
45,sicht­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
46,"bar,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,37,20,0,0
47,da,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
48,totgeglaubte,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,20,0,0
49,"Atavismen,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
50,Nationalis­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,20,0,0
51,"men,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,37,19,0,0
52,Fundamentalismen,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,19,0,0
53,aller,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
54,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
55,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
56,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
57,er­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
58,"schüttern,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,37,19,0,0
59,da,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,19,0,0
60,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
61,sicher,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
62,gehaltene,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
63,ökonomi­,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
64,"sche,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,37,19,0,0
65,rechtliche,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
66,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
67,soziale,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
68,Errungenschaften,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,19,0,0
69,bedroht,0.0,0,0,7,0,0,0,0,0,0,0,0,8,36,20,0,0
70,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
71,bereits,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
72,verwirkt,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
73,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
74,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
75,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
76,al­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
77,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,8,37,20,0,0
78,liberalen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
