,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,269,23,1,0
1,Unternehmensführung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,23,1,0
2,Plädoyer,0.125,1,0,8,0,0,0,0,0,0,0,0,12,138,62,0,1
3,für,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,62,0,1
4,das,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,62,0,1
5,Narrenamt,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,62,0,1
6,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,69,89,0,1
7,Unternehmensführung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,10,3,89,0,1
8,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,89,0,1
9,ungleichzeitiger,0.0,0,0,16,0,0,0,0,0,0,0,0,10,3,89,0,1
10,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,10,3,89,0,1
11,Gabriele,0.125,1,0,8,0,0,0,0,0,0,0,0,8,190,111,1,0
12,Geiger,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,111,1,0
13,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,32,145,0,0
14,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,145,0,0
15,Rezession,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,145,0,0
16,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,145,0,0
17,weltweit,0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,145,0,0
18,operierenden,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,145,0,0
19,Unternehmen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,145,0,0
20,ebenso,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,145,0,0
21,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,145,0,0
22,mittelständischen,0.0,0,0,17,0,0,0,0,0,0,0,0,7,3,145,0,0
23,"Firmen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,145,0,0
24,Kommunalverwaltungen,0.05,1,0,20,0,0,0,0,0,0,0,0,7,32,15,0,0
25,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,15,0,0
26,Großinstitutionen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,2,15,0,0
27,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
28,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
29,Kirchen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,15,0,0
30,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
31,schwerste,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,15,0,0
32,"Rezession,",0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,15,0,0
33,teilweise,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,15,0,0
34,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,15,0,0
35,Existenz­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,15,0,0
36,krise,0.0,0,0,5,0,0,0,0,0,0,0,0,7,32,16,0,0
37,beschert.,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
38,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
39,Aufsatz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
40,versucht,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
41,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
42,"analysieren,",0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
43,aufgrund,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
44,welcher,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
45,politischen,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
46,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
47,mental-ideologischen,0.0,0,0,20,0,0,0,0,0,0,0,0,7,2,16,0,0
48,Konstel­,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
49,lationen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,32,15,0,0
50,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
51,Rahmenbedingungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,2,15,0,0
52,potentiell,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,15,0,0
53,offene,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,15,0,0
54,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
55,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
56,Denken,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
57,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
58,Institutionen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,15,0,0
59,Ilberschreitende,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,2,15,0,0
60,Lösungsmög­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,15,0,0
61,lichkeiten,0.0,0,0,10,0,0,0,0,0,0,0,0,7,32,16,0,0
62,zurllckgeschraubt,0.0,0,0,17,0,0,0,0,0,0,0,0,7,2,16,0,0
63,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
64,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
65,"technokratische,",0.0,0,0,16,0,0,0,0,0,0,0,0,7,1,16,0,0
66,eftizienzsteigernde,0.0,0,0,19,0,0,0,0,0,0,0,0,7,2,16,0,0
67,Fllhrungsstrategien.,0.05,1,0,20,0,0,0,0,0,0,0,0,7,2,16,0,0
68,Demgegenllber,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,16,0,0
69,las­,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
70,sen,0.0,0,0,3,0,0,0,0,0,0,0,0,7,32,16,0,0
71,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
72,Des-Identifikation,0.1111111111111111,1,0,18,0,0,0,0,0,0,0,0,7,2,16,0,0
73,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
74,Selbstretlexivität,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,7,2,16,0,0
75,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
76,Einstellungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,16,0,0
77,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
78,Haltungen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
79,"beschreiben,",0.0,0,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
80,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
81,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
82,bewuß­,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
83,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,7,32,16,0,0
84,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
85,gezielten,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
86,Einsatz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
87,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
88,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
89,oberen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
90,Management-Ebenen,0.11764705882352941,1,0,17,0,0,0,0,0,0,0,0,7,2,16,0,0
91,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
92,Antinomien,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
93,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
94,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
95,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
96,lange,0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,16,0,0
97,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
98,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
99,para­,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
100,lysierenden,0.0,0,0,11,0,0,0,0,0,0,0,0,7,32,16,0,0
101,Wirtschafissystems,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,7,3,16,0,0
102,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
103,begegnen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
104,wäre.,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
105,I.,0.5,1,0,2,0,0,0,0,0,0,0,0,10,32,257,0,1
106,Ausgangspunkt,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,2,257,0,1
107,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,257,0,1
108,Fragestellung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,1,257,0,1
109,Meine,0.2,1,0,5,0,0,0,0,0,0,0,0,8,32,279,0,0
110,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,279,0,0
111,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,279,0,0
112,postmodernen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,279,0,0
113,For­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,279,0,0
114,men,0.0,0,0,3,0,0,0,0,0,0,0,0,8,32,19,0,0
115,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
116,Unternehmensfuhrung,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,4,19,0,0
117,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
118,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
119,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
120,Wissens-,0.125,1,0,8,0,0,0,0,0,0,0,0,8,32,19,0,0
121,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
122,Bildungsproduktion,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,2,19,0,0
123,speisen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
124,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
125,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,32,19,0,0
126,zwei,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
127,"Quellen,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
128,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
129,Wasser,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,19,0,0
130,aufeinander,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
131,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,32,19,0,0
132,fließen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
133,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
134,mittlerweile,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,19,0,0
135,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
136,Strudel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
137,bil­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
138,den.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,32,19,0,0
139,Dieser,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,19,0,0
140,Text,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
141,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
142,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
143,erster,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
144,Versuch,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
145,vor­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
146,"sichtiger,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,32,19,0,0
147,umweltschonender,0.0,0,0,16,0,0,0,0,0,0,0,0,8,3,19,0,0
148,Kanalisierung.,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,19,0,0
149,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,46,19,0,0
150,erste,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
151,Quelle,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
152,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
153,biographischer,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,19,0,0
154,Natur:,0.16666666666666666,1,0,6,0,0,1,0,0,0,0,0,8,3,19,0,0
155,mein,0.0,0,0,4,0,0,0,0,0,0,0,0,8,31,19,0,0
156,jahrelanger,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
157,postmodern-großstädtischer,0.0,0,0,26,0,0,0,0,0,0,0,0,8,3,19,0,0
158,"Lebensstil,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,32,19,0,0
159,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,19,0,0
160,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,19,0,0
161,jetzt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
162,konfrontiert,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,19,0,0
163,sieht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,19,0,0
164,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,32,19,0,0
165,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,19,0,0
166,"Denkweisen,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,7,19,0,0
167,Verhandlungsformen,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,7,19,0,0
168,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,32,19,0,0
169,Erfordernissen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,19,0,0
170,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
171,traditionellen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,19,0,0
172,Insti­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
173,tution.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,31,19,0,0
174,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,5,19,0,0
175,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
176,genuß-,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
177,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
178,sinnenfreudigen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,19,0,0
179,Stadt,0.2,1,0,5,0,0,0,0,0,0,0,0,8,32,19,0,0
180,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
181,München,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,19,0,0
182,war,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
183,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
184,verhältnismäßig,0.0,0,0,15,0,0,0,0,0,0,0,0,8,5,19,0,0
185,"leicht,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,32,19,0,0
186,"""postmodern""",0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,19,0,0
187,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
188,"leben,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
189,will,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
190,"sagen,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
191,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
192,Zumutungen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,31,19,0,0
193,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,19,0,0
194,Patchwork-Identität,0.10526315789473684,1,0,19,0,0,0,0,0,0,0,0,8,6,19,0,0
195,hin­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,19,0,0
196,sichtlich,0.0,0,0,9,0,0,0,0,0,0,0,0,8,32,19,0,0
197,Plastizität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,19,0,0
198,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
199,"Denkens,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
200,Flexibilität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,19,0,0
201,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,31,19,0,0
202,beruflichen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,19,0,0
203,Anforderungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,19,0,0
204,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
205,privaten,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
206,"Arrangements,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,31,19,0,0
207,Mobilität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
208,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
209,Effektivität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,19,0,0
210,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
211,gleichzeitiger,0.0,0,0,14,0,0,0,0,0,0,0,0,8,31,19,0,0
212,Widerständigkeit,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,4,19,0,0
213,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
214,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
215,par­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
216,tieller,0.0,0,0,7,0,0,0,0,0,0,0,0,8,31,19,0,0
217,jeweiliger,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
218,Identifikation,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,19,0,0
219,einigermaßen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,19,0,0
220,unbeschadet,0.0,0,0,11,0,0,0,0,0,0,0,0,8,31,19,0,0
221,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,19,0,0
222,überstehen.,0.0,0,0,11,0,0,0,0,0,0,0,0,8,6,19,0,0
223,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,7,19,0,0
224,Stimulanz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,6,19,0,0
225,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,31,19,0,0
226,Wechsels,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,19,0,0
227,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
228,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
229,hohe,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
230,Maß,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
231,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
232,Eigen­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,19,0,0
233,verantwortlichkeit,0.0,0,0,18,0,0,0,0,0,0,0,0,8,31,19,0,0
234,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,8,19,0,0
235,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,8,19,0,0
236,Entscheidungen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,9,19,0,0
237,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,31,19,0,0
238,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,19,0,0
239,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
240,Zeitgestaltung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,5,19,0,0
241,wogen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
242,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
243,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
244,verbundenen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,31,19,0,0
245,Risiken,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,7,19,0,0
246,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,19,0,0
247,Marginalisierung,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,7,19,0,0
248,zumindest,0.0,0,0,9,0,0,0,0,0,0,0,0,8,31,19,0,0
249,teilweise,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
250,auf.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
251,Jenseits,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
252,aller,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
253,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
254,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,31,19,0,0
255,hereinbrechenden,0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,19,0,0
256,existenziellen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,5,19,0,0
257,Kri­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,19,0,0
258,sen,0.0,0,0,3,0,0,0,0,0,0,0,0,8,31,19,0,0
259,vermittelte,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,19,0,0
260,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
261,Ort,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
262,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
263,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
264,Mischung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
265,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,31,19,0,0
