,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,15,123,80,0,1
1,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,15,5,80,0,1
2,Elfenbeinturm,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,15,4,80,0,1
3,Möglichkeiten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,44,163,0,1
4,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,163,0,1
5,Gestaltung,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,163,0,1
6,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,163,0,1
7,Kongressen,0.1,1,0,10,0,0,0,0,0,0,0,0,12,4,163,0,1
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,163,0,1
9,Neuen,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,163,0,1
10,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,129,29,0,1
11,für,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,29,0,1
12,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,3,29,0,0
13,1,0.0,0,0,1,1,0,0,0,0,0,0,1,8,0,29,0,0
14,Volker,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,117,203,1,0
15,"Gold,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,203,1,0
16,Gisela,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,203,1,0
17,Roghe,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,203,1,0
18,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,203,1,0
19,Reinhard,0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,203,1,0
20,Wegner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,203,1,0
21,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,24,234,0,0
22,Auf,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,234,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,234,0,0
24,Grundlage,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,234,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,234,0,0
26,meist,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,234,0,0
27,unbefriedigenden,0.0,0,0,16,0,0,0,0,0,0,0,0,7,3,234,0,0
28,Erfahrungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,234,0,0
29,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,234,0,0
30,Teilnehmern,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,234,0,0
31,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,234,0,0
32,psychologi­,0.0,0,0,11,0,0,0,0,0,0,0,0,7,3,234,0,0
33,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,25,16,0,0
34,Kongressen,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
36,Tagungen,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
37,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
38,Vorschläge,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
39,"entwickelt,",0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
40,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
41,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
42,Kommunikation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
43,von/über,0.0,0,0,8,0,1,0,0,0,0,0,0,7,2,16,0,0
44,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
45,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
46,ei­,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
47,nem,0.0,0,0,3,0,0,0,0,0,0,0,0,7,24,15,0,0
48,größeren,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,15,0,0
49,sozialen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,15,0,0
50,Kontext,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,15,0,0
51,verbessert,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,15,0,0
52,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
53,kann.,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,15,0,0
54,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
55,wichtigste,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,15,0,0
56,Kriterien,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,15,0,0
57,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
58,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,0,0
59,verschiedenen,0.0,0,0,13,0,0,0,0,0,0,0,0,7,3,15,0,0
60,Teilneh­,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,15,0,0
61,merbedürfnisse,0.0,0,0,14,0,0,0,0,0,0,0,0,7,24,16,0,0
62,angelegt.,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
63,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
64,generellen,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
66,berechtigten,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
67,Interessen,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
68,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
69,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
70,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
71,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
72,aktiver,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
73,"Beteiligung,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
74,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
75,Verständlichkeit,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,24,16,0,0
76,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
77,Darbietungs-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
78,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
79,Lebendigkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
80,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
81,Erarbeitungsformen,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,7,3,16,0,0
82,stehen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
83,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
84,Vordergrund.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
85,Den,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
86,Planem,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
87,psychologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,7,24,16,0,0
88,Kongresse,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
89,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
90,Tagungen,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
91,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
92,Alternativen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
93,unterbreitet,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
94,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
95,praktische,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
96,Vorschläge,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,16,0,0
97,"gemacht,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
98,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
99,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,24,16,0,0
100,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
101,schwieriges,0.0,0,0,11,0,0,0,0,0,0,0,0,7,1,16,0,0
102,Gestaltungsproblem,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,7,2,16,0,0
103,teilnehmerorientiert,0.0,0,0,20,0,0,0,0,0,0,0,0,7,2,16,0,0
104,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
105,sachgerecht,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
106,lösen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
107,können.,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
108,Kongreßgestaltung:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,10,25,335,0,1
109,Routine­,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,335,0,1
110,aufgabe,0.0,0,0,7,0,0,0,0,0,0,0,0,10,25,23,0,1
111,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,23,0,1
112,Gestaltungsproblem?,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,10,2,23,0,1
113,1st,0.0,0,0,3,1,0,0,0,0,0,0,1,8,24,367,0,0
114,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,367,0,0
115,Ausrichtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,367,0,0
116,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,367,0,0
117,Kongresses,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,367,0,0
118,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,367,0,0
119,Er­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,367,0,0
120,ledigung,0.0,0,0,8,0,0,0,0,0,0,0,0,8,25,19,0,0
121,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
