,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Einzelbeiträge,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,15,158,76,0,1
1,Gute,0.25,1,0,4,0,0,0,0,0,0,0,0,12,64,149,0,1
2,"Gründe,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,149,0,1
3,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,149,0,1
4,umweltverträglich,0.0,0,0,17,0,0,0,0,0,0,0,0,12,3,149,0,1
5,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,149,0,1
6,handeln,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,149,0,1
7,Henriette,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,171,172,1,0
8,Katzenstein,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,172,1,0
9,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,6,23,203,0,0
10,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,2,203,0,0
11,bekanntesten,0.0,0,0,12,0,0,0,0,0,0,0,0,6,2,203,0,0
12,psychologischen,0.0,0,0,15,0,0,0,0,0,0,0,0,6,2,203,0,0
13,Forschungsansätze,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,6,2,203,0,0
14,nähern,0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,203,0,0
15,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,203,0,0
16,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,203,0,0
17,Problematik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,6,2,203,0,0
18,umweltrele­,0.0,0,0,11,0,0,0,0,0,0,0,0,6,2,203,0,0
19,vanten,0.0,0,0,6,0,0,0,0,0,0,0,0,6,23,16,0,0
20,Verhaltens,0.1,1,0,10,0,0,0,0,0,0,0,0,6,2,16,0,0
21,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,16,0,0
22,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,6,2,16,0,0
23,"umweltschutzzentrierten,",0.0,0,0,24,0,0,0,0,0,0,0,0,6,2,16,0,0
24,",ökologistischen'",0.0,0,0,17,0,0,0,0,0,0,0,0,6,3,16,0,0
25,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,6,3,16,0,0
26,an.,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,16,0,0
27,Dem,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,3,16,0,0
28,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,16,0,0
29,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,16,0,0
30,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,3,16,0,0
