,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"Person,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,15,35,78,0,1
1,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,78,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,78,0,1
3,Geschlechterverhältnis,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,15,5,78,0,1
4,Zygmunt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,171,162,0,1
5,Bauman,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,162,0,1
6,vorgestellt,0.0,0,0,11,0,0,0,0,0,0,0,0,10,107,190,0,1
7,von,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,190,0,1
8,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,2,190,1,1
9,Keupp,0.2,1,0,5,0,0,0,0,0,0,0,0,10,2,190,1,1
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,190,0,1
11,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,10,3,190,1,1
12,Mattes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,2,190,1,1
13,Zygmunt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,90,465,0,0
14,Bauman,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,465,0,0
15,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,246,282,0,0
16,Person:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,7,2,282,0,0
17,"Bauman,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,246,300,0,0
18,Zygmunt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,4,300,0,0
19,(Jg.,0.25,0,0,4,0,0,0,0,0,0,0,0,7,4,300,0,0
20,"1925),",0.0,0,0,6,4,0,0,0,0,0,0,0,7,5,300,0,0
21,Studium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,5,300,0,0
22,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,300,0,0
23,Philosophie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,246,16,0,0
24,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
25,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
26,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
28,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
29,Warschau;,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,246,16,0,0
30,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
31,1968,0.0,0,0,4,4,0,0,0,0,0,1,1,7,3,16,0,0
32,Professor,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
33,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
35,Universi­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
36,tät,0.0,0,0,3,0,0,0,0,0,0,0,0,7,246,16,0,0
37,"Warschau,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
38,zusammen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
39,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
40,ftlnf,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
41,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,7,1,16,0,0
42,jüdi­,0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,16,0,0
43,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,246,16,0,0
44,Professoren,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
45,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
46,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
47,Studentenunruhen,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,3,16,0,0
48,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,246,16,0,0
49,März,0.25,1,0,4,0,0,0,0,0,0,0,0,7,5,16,0,0
50,1968,0.0,0,0,4,4,0,0,0,0,0,1,1,7,5,16,0,0
51,relegiert;,0.0,0,0,10,0,0,0,0,0,0,0,0,7,5,16,0,0
52,danach,0.0,0,0,6,0,0,0,0,0,0,0,0,7,5,16,0,0
53,Emigration,0.1,1,0,10,0,0,0,0,0,0,0,0,7,5,16,0,0
54,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,246,16,0,0
55,Israel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
56,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
57,übernahm,0.0,0,0,8,0,0,0,0,0,0,0,0,7,4,16,0,0
58,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
59,Professur,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
60,ftlr,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
61,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,7,246,16,0,0
62,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
63,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
64,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
65,Tel,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
66,Aviv,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
67,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
68,ab,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
69,1971,0.0,0,0,4,4,0,0,0,0,0,1,1,7,247,16,0,0
70,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
71,1991,0.0,0,0,4,4,0,0,0,0,0,1,1,7,3,16,0,0
72,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,4,16,0,0
73,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
74,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
75,Leeds,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
76,(Eng­,0.2,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
77,land).,0.0,0,0,6,0,0,0,0,0,0,0,0,7,246,16,0,0
78,Wichtige,0.125,1,0,8,0,0,0,0,0,0,0,0,7,255,16,0,0
79,Werke:,0.16666666666666666,1,0,6,0,0,1,0,0,0,0,0,7,4,16,0,0
80,Legislators,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,5,16,0,0
81,and,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
82,interpre­,0.0,0,0,9,0,0,0,0,0,0,0,0,7,4,16,0,0
83,ters,0.0,0,0,4,0,0,0,0,0,0,0,0,7,246,16,0,0
84,(1987);,0.0,0,0,7,4,0,0,0,0,0,0,0,7,2,16,0,0
85,Modernity,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
86,and,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
87,the,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
88,holocaust,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
89,(1989),0.0,0,0,6,4,0,0,0,0,0,0,0,7,1,16,0,0
90,(dt.:,0.0,0,0,5,0,0,1,0,0,0,0,0,7,246,16,0,0
91,Dialektik,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
92,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
93,Ordnung.,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
94,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
95,Modeme,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
96,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
97,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,246,16,0,0
98,Holocaust);,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
99,Thinking,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
100,sociologically,0.0,0,0,14,0,0,0,0,0,0,0,0,7,1,16,0,0
101,(1990);,0.0,0,0,7,4,0,0,0,0,0,0,0,7,2,16,0,0
102,Modernity,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,246,16,0,0
103,and,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
104,ambivalence,0.0,0,0,11,0,0,0,0,0,0,0,0,7,4,16,0,0
105,(1991),0.0,0,0,6,4,0,0,0,0,0,0,0,7,4,16,0,0
106,(deutsch:,0.0,0,0,9,0,0,1,0,0,0,0,0,7,4,16,0,0
107,Modeme,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,246,16,0,0
108,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
109,Ambivalenz);,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
110,Intimations,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
111,ofpost­,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
112,modernity,0.0,0,0,9,0,0,0,0,0,0,0,0,7,246,16,0,0
113,(1992);,0.0,0,0,7,4,0,0,0,0,0,0,0,7,4,16,0,0
114,Postmodern,0.1,1,0,10,0,0,0,0,0,0,0,0,7,4,16,0,0
115,ethics,0.0,0,0,6,0,0,0,0,0,0,0,0,7,4,16,0,0
116,(1993);,0.0,0,0,7,4,0,0,0,0,0,0,0,7,4,16,0,0
117,"Tod,",0.25,1,0,4,0,0,0,0,0,0,0,0,7,246,16,0,0
118,Unsterblichkeit,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,16,0,0
119,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
120,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,16,0,0
121,Lebensstrate­,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,3,16,0,0
122,gien.,0.0,0,0,5,0,0,0,0,0,0,0,0,7,246,16,0,0
123,FrankfurtJM.,0.25,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
124,1994.,0.0,0,0,5,4,0,0,0,0,0,0,1,7,3,16,0,0
125,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,35,527,0,0
126,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,527,0,0
127,Polen,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,527,0,0
128,stammende,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,527,0,0
129,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,527,0,0
130,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,527,0,0
131,Großbritan­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,527,0,0
132,nien,0.0,0,0,4,0,0,0,0,0,0,0,0,8,35,19,0,0
133,lebende,0.0,0,0,7,0,0,0,0,0,0,0,0,8,6,19,0,0
134,Soziologe,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,6,19,0,0
135,Zygmunt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,6,19,0,0
136,Bauman,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,6,19,0,0
137,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,35,20,0,0
138,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
139,Eröffuungsreferat,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,5,20,0,0
140,"(""Identity:",0.09090909090909091,0,0,11,0,0,1,0,0,0,0,0,8,5,20,0,0
141,Mo­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
142,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,35,19,0,0
143,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
144,"Postmodern"")",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,19,0,0
145,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
146,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
147,3.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,4,19,0,0
148,Kongreß,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
149,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,35,20,0,0
150,Neuen,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,20,1,0
151,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,5,20,1,0
152,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,1,0
153,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,5,20,1,0
154,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
155,März,0.25,1,0,4,0,0,0,0,0,0,0,0,8,35,20,0,0
156,1995,0.0,0,0,4,4,0,0,0,0,0,1,1,8,3,20,0,0
157,halten.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
158,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
159,bemerkenswerte,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,20,0,0
160,Werk,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
161,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,35,19,0,0
162,Wissenschaftlers,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,19,0,0
163,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
164,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
165,scheint,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
166,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
167,"uns,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
168,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,8,35,19,0,0
169,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
170,sozialwissenschaftlieh,0.0,0,0,22,0,0,0,0,0,0,0,0,8,4,19,0,0
171,orientier­,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,19,0,0
172,ten,0.0,0,0,3,0,0,0,0,0,0,0,0,8,35,19,0,0
173,Psychologen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,19,0,0
174,weniger,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
175,"bekannt,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
176,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
177,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
178,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
179,verdient,0.0,0,0,8,0,0,0,0,0,0,0,0,8,35,19,0,0
180,hätte.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
181,Zygmunt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
182,Bauman,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
183,erstellte,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
184,ei-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
185,ne,0.0,0,0,2,0,0,0,0,0,0,0,0,8,232,527,0,0
186,"Zeitdiagnose,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,527,0,0
187,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,527,0,0
188,entstanden,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,527,0,0
189,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,527,0,0
190,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,527,0,0
191,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,527,0,0
192,Hintergrund,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,232,19,0,0
193,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
194,"Lebenserfahrungen,",0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,19,0,0
195,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
196,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
197,Lasten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,232,19,0,0
198,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
199,Moderne,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
200,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
201,persönliches,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,19,0,0
202,Schick­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
203,sal,0.0,0,0,3,0,0,0,0,0,0,0,0,8,233,19,0,0
204,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
205,einschließen.,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,19,0,0
206,Wir,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
207,stellen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
208,unseren,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
209,Le­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
210,serinnen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,232,19,0,0
211,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,19,0,0
212,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
213,Autor,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
214,"vor,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,19,0,0
215,indem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,19,0,0
216,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
217,Hinweise,0.125,1,0,8,0,0,0,0,0,0,0,0,8,233,19,0,0
218,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
219,seinen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
220,Lebensweg,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,5,19,0,0
221,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
222,seine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
223,wichtigsten,0.0,0,0,11,0,0,0,0,0,0,0,0,8,233,19,0,0
224,Arbeiten,0.125,1,0,8,0,0,0,0,0,0,0,0,8,9,19,0,0
225,geben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,9,19,0,0
226,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,8,9,19,0,0
227,Aus­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,9,19,0,0
228,schnitte,0.0,0,0,8,0,0,0,0,0,0,0,0,8,233,20,0,0
229,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
230,jüngsten,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
231,"Veröffentlichungen,",0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,20,0,0
232,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
233,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,233,19,0,0
234,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
235,weit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
236,verbreitet,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
237,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
238,"dürften,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
239,nach­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
240,drucken.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,233,19,0,0
241,Journal,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,35,658,0,0
242,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,658,0,0
243,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,658,0,0
244,37,0.0,0,0,2,2,0,0,0,0,0,0,1,8,407,657,0,0
