,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,16,148,80,0,1
1,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,107,123,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,16,4,123,0,1
3,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,16,4,123,0,1
4,11,0.0,0,0,2,2,0,0,0,0,0,0,1,16,4,123,0,1
5,Pluralisierung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,131,207,0,1
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,207,0,1
7,Perspektivität,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,4,207,0,1
8,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,43,236,0,1
9,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,236,0,1
10,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,236,0,1
11,postmodernen,0.0,0,0,12,0,0,0,0,0,0,0,0,10,3,236,0,1
12,Version,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,236,0,1
13,interpretativer,0.0,0,0,15,0,0,0,0,0,0,0,0,10,3,236,0,1
14,Forschung*,0.1,1,0,10,0,0,0,0,0,0,0,0,11,2,236,0,1
15,Ralph,0.2,1,0,5,0,0,0,0,0,0,0,0,8,203,258,1,0
16,Sichler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,258,1,0
17,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,40,301,0,0
18,Interpretative,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,301,0,0
19,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,301,0,0
20,rekurriert,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,301,0,0
21,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,301,0,0
22,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,301,0,0
23,"Sinnverstehen,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,301,0,0
24,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,301,0,0
25,Basismethodologie,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,2,301,0,0
26,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,301,0,0
27,des­,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,301,0,0
28,halb,0.0,0,0,4,0,0,0,0,0,0,0,0,7,40,16,0,0
29,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
30,Hermeneutik.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
31,Vertreter,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
32,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
33,Postmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
34,sehen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
35,jedoch,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
36,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
37,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
38,Hermeneutik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
39,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
40,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
41,Sinntotalität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,1,16,0,0
42,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
43,Herr­,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
44,schaft,0.0,0,0,6,0,0,0,0,0,0,0,0,7,40,16,0,0
45,abzielende,0.0,0,0,10,0,0,0,0,0,0,0,0,7,1,16,0,0
46,Form,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
47,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
48,Welt-,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
49,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
50,"Selbstauslegung,",0.0625,1,0,16,0,0,0,0,0,0,0,0,7,2,16,0,0
51,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
52,universelle,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
53,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
54,einheitsstiftende,0.0,0,0,17,0,0,0,0,0,0,0,0,7,2,16,0,0
55,Verbindlichkeit,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
56,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
57,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
58,Pluralität,0.1,1,0,10,0,0,0,0,0,0,0,0,7,40,16,0,0
59,post-moderner,0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
60,Lebensformen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
61,verlorengegangen,0.0,0,0,16,0,0,0,0,0,0,0,0,7,2,16,0,0
62,ist.,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
63,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
64,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
65,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
66,deshalb,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
67,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
68,Abhebung,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
69,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
70,singularisie­,0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
71,renden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,40,16,0,0
72,Interpretations-,0.0625,1,0,16,0,0,0,0,0,0,0,0,7,2,16,0,0
73,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
74,Deutungsmustern,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,16,0,0
75,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
76,postmoderne,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
77,Version,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
78,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
79,Hermeneutik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
80,entfaltet.,0.0,0,0,10,0,0,0,0,0,0,0,0,7,1,16,0,0
81,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
82,daraus,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
83,resul­,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
84,tierende,0.0,0,0,8,0,0,0,0,0,0,0,0,7,40,17,0,0
85,pluralisierende,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,17,0,0
86,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
87,perspektivische,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,17,0,0
88,Charakter,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,17,0,0
89,interpretativer,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,17,0,0
90,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,17,0,0
91,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,17,0,0
92,am,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,17,0,0
93,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,17,0,0
94,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,17,0,0
95,ethnometho­,0.0,0,0,11,0,0,0,0,0,0,0,0,7,1,17,0,0
96,dologisch,0.0,0,0,9,0,0,0,0,0,0,0,0,7,40,16,0,0
97,ausgerichteten,0.0,0,0,14,0,0,0,0,0,0,0,0,7,3,16,0,0
98,Tiefenhermeneutik,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,2,16,0,0
99,veranschaulicht.,0.0,0,0,16,0,0,0,0,0,0,0,0,7,2,16,0,0
100,Zum,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
101,Abschluß,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,0,0
102,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
103,Konsequenzen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
104,ft1r,0.0,0,0,4,1,0,0,0,0,0,0,0,7,3,16,0,0
105,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
106,Wahr­,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
107,heitsbegriff,0.0,0,0,12,0,0,0,0,0,0,0,0,7,40,16,0,0
108,aufgezeigt.,0.0,0,0,11,0,0,0,0,0,0,0,0,7,1,16,0,0
109,Interpretative,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,40,407,0,0
110,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,407,0,0
111,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,407,0,0
112,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,407,0,0
113,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,407,0,0
114,besten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,407,0,0
115,"Wege,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,40,19,0,0
116,innerhalb,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
117,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
118,akademischen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,19,0,0
119,Betriebs,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
120,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,40,19,0,0
121,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,19,0,0
122,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
123,anderer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,19,0,0
124,Sozialwissen­,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,5,19,0,0
125,schaften,0.0,0,0,8,0,0,0,0,0,0,0,0,8,40,20,0,0
126,salonflthig,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
127,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
128,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
129,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
130,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
131,letzten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
132,Jahr,0.25,1,0,4,0,0,0,0,0,0,0,0,8,40,20,0,0
133,erschienenes,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,20,0,0
134,umfangreiches,0.0,0,0,13,0,0,0,0,0,0,0,0,8,5,20,0,0
135,Handbuch,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,20,0,0
136,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,40,19,0,0
137,qualitativen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,19,0,0
138,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,4,19,0,0
139,(Flick,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
140,et,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
141,al.,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
142,1991),0.0,0,0,5,4,0,0,0,0,0,0,0,8,41,20,0,0
143,dokumentiert,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
144,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
145,"Bedeutung,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
146,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
147,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
148,Forschungsansatz,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,40,19,0,0
149,mittlerweile,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
150,gewonnen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
151,hat.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
152,Darin,0.2,1,0,5,0,0,0,0,0,0,0,0,8,40,19,0,0
153,bestätigt,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
154,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
155,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
156,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
157,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
158,Vielfalt,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
159,theo­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,1,19,0,0
160,retischer,0.0,0,0,9,0,0,0,0,0,0,0,0,8,40,19,0,0
161,Konzepte,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
162,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
163,aggregierter,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,19,0,0
164,Metho­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
165,"den,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,40,19,0,0
166,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
167,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
168,Anzahl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
169,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
170,"Handlungsfelder,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,19,0,0
171,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
172,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,40,19,0,0
173,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
174,qualitative,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
175,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,19,0,0
176,erfolg­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
177,reich,0.0,0,0,5,0,0,0,0,0,0,0,0,8,40,19,0,0
178,"arbeitet,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
179,deutet,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
180,darauf,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
181,"hin,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,19,0,0
182,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
183,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
184,inter­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
185,pretative,0.0,0,0,9,0,0,0,0,0,0,0,0,8,40,20,0,0
186,Forschungsparadigma,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,2,20,0,0
187,ftlr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
188,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
189,Sozial­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
190,wissenschaften,0.0,0,0,14,0,0,0,0,0,0,0,0,8,40,20,0,0
191,unverziehtbar,0.0,0,0,13,0,0,0,0,0,0,0,0,8,5,20,0,0
192,geworden,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,20,0,0
193,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,20,0,0
194,*,0.0,0,0,1,0,0,0,0,0,0,0,0,10,40,594,0,0
195,Überarbeitete,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,4,594,0,0
196,Fassung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,4,594,0,0
197,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,594,0,0
198,Vortrags,0.125,1,0,8,0,0,0,0,0,0,0,0,7,4,594,0,0
199,anläßlich,0.0,0,0,9,0,0,0,0,0,0,0,0,7,4,594,0,0
200,des,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,594,0,0
201,ersten,0.0,0,0,6,0,0,0,0,0,0,0,0,7,49,19,0,0
202,gemeinsamen,0.0,0,0,11,0,0,0,0,0,0,0,0,7,7,19,0,0
203,Kolloquiums,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,7,19,0,0
204,(Psychosoziale,0.07142857142857142,0,0,14,0,0,0,0,0,0,0,0,7,7,19,1,0
205,ldentittit,0.0,0,0,10,0,0,0,0,0,0,0,0,7,48,16,1,0
206,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,1,0
207,Umbruch),0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,16,1,0
208,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
209,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
210,ft1r,0.0,0,0,4,1,0,0,0,0,0,0,0,7,2,16,0,0
211,Kulturso­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,16,0,0
212,ziologie,0.0,0,0,8,0,0,0,0,0,0,0,0,7,48,16,0,0
213,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
214,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
