,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Bernd,0.2,1,0,5,0,0,0,0,0,0,0,0,8,27,28,1,0
1,Vaassen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,28,1,0
2,Epistemologische,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,32,67,0,1
3,Aspekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,3,67,0,1
4,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,67,0,1
5,narrativen,0.0,0,0,10,0,0,0,0,0,0,0,0,12,3,67,0,1
6,Sozialwissenschaft,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,4,67,0,1
7,Bernd,0.2,1,0,5,0,0,0,0,0,0,0,0,8,187,90,1,0
8,Vaassen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,90,1,0
9,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,27,136,0,0
10,In,0.5,1,0,2,0,0,0,0,0,0,0,0,7,2,136,0,0
11,neuerer,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,136,0,0
12,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,136,0,0
13,bilden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,136,0,0
14,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,136,0,0
15,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,136,0,0
16,Idee,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,136,0,0
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,136,0,0
18,Narrativität,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,136,0,0
19,menschlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,136,0,0
20,Denkens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,136,0,0
21,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,136,0,0
