,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Robert,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,28,22,1,0
1,F.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,1,22,0,0
2,Antoch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,22,1,0
3,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,11,120,61,0,1
4,Lust,0.25,1,0,4,0,0,0,0,0,0,0,0,11,3,61,0,1
5,am,0.0,0,0,2,0,0,0,0,0,0,0,0,11,3,61,0,1
6,sicheren,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,61,1,1
7,Untergang*,0.1,1,0,10,0,0,0,0,0,0,0,0,11,3,61,0,1
8,Robert,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,185,87,1,0
9,F.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,1,87,0,0
10,Antoch,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,87,1,0
11,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,29,130,0,0
12,Lust,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,130,0,0
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,130,0,0
14,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,130,0,0
15,Sicherung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,130,0,0
16,stehen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,130,0,0
17,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,130,0,0
18,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,130,0,0
19,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,130,0,0
20,gewissen,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,130,0,0
21,Gegensatz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,130,0,0
22,zueinander:,0.0,0,0,11,0,0,1,0,0,0,0,0,7,2,130,0,0
23,Wenn,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,130,0,0
24,Lust,0.25,1,0,4,0,0,0,0,0,0,0,0,7,3,130,0,0
25,"Bewegung,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,29,16,0,0
26,"Veränderung,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
27,Aufregung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
28,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
29,Wagnis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
30,"einschließt,",0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
31,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
32,besteht,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
33,Sicherung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
34,allemal,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
35,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
36,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
37,Minimierung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
38,jedweden,0.0,0,0,8,0,0,0,0,0,0,0,0,7,28,16,0,0
39,Risikos.,0.125,1,0,8,0,0,0,0,0,0,0,0,7,1,16,0,0
40,Wer,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
41,also,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
