,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"Person,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,15,33,76,0,1
1,Wissenschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,4,76,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,76,0,1
3,Geschlechterverhältnis,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,15,5,76,0,1
4,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,12,176,160,0,1
5,Brückner,0.125,1,0,8,0,0,0,0,0,0,0,0,12,3,160,0,1
6,vorgestellt,0.0,0,0,11,0,0,0,0,0,0,0,0,8,95,187,0,0
7,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,187,0,0
8,Almuth,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,187,1,0
9,Bruder-Bezzel,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,8,2,187,1,0
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,187,0,0
11,Klaus-Jürgen,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,8,2,187,1,0
12,Bruder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,187,1,0
13,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,8,190,464,0,0
14,Brückner·,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,464,0,0
15,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,32,499,0,0
16,Themenheft,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,499,0,0
17,Uber,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,499,0,0
18,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,499,0,0
19,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,499,0,0
20,Poli­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,499,0,0
21,tik,0.0,0,0,3,0,0,0,0,0,0,0,0,8,32,19,0,0
22,erscheint,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
23,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
24,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
25,vorzügliche,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,19,0,0
26,Gelegen­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
27,"heit,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,32,19,0,0
28,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
29,politische,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
30,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
31,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
32,Brück­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
33,ners,0.0,0,0,4,0,0,0,0,0,0,0,0,8,32,19,0,0
34,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,19,0,0
35,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,19,0,0
36,Erinnerung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,19,0,0
37,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,19,0,0
38,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
39,viel­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,19,0,0
40,leicht,0.0,0,0,6,0,0,0,0,0,0,0,0,8,32,19,0,0
41,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
42,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
43,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
44,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,19,0,0
45,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,19,0,0
46,bringen.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
47,Wenngleich,0.1,1,0,10,0,0,0,0,0,0,0,0,8,32,19,0,0
48,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
49,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
50,abgelehnt,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
51,"hat,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
52,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
53,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
54,Psy­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
55,chologe,0.0,0,0,7,0,0,0,0,0,0,0,0,8,32,19,0,0
