,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Themenschwerpunkt:,0.05555555555555555,1,0,18,0,0,1,0,0,0,0,0,15,129,74,0,1
1,Politik,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,15,115,116,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,3,116,0,1
3,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,15,4,116,0,1
4,­,0.0,0,0,1,0,0,0,0,0,0,0,0,15,3,116,0,1
5,Gemeinde,0.125,1,0,8,0,0,0,0,0,0,0,0,15,108,36,0,1
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,36,0,1
7,Gemeinsinn,0.1,1,0,10,0,0,0,0,0,0,0,0,15,5,36,0,1
8,Gemeinsinn,0.1,1,0,10,0,0,0,0,0,0,0,0,12,127,214,0,1
9,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,214,0,1
10,Eigennutz?!,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,4,214,0,1
11,Gegen,0.2,1,0,5,0,0,0,0,0,0,0,0,12,112,242,0,1
12,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,242,0,1
13,falschen,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,242,0,1
14,Moralismus,0.1,1,0,10,0,0,0,0,0,0,0,0,12,4,242,0,1
15,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,184,265,1,0
16,Keupp,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,265,1,0
17,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,21,296,0,0
18,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,296,0,0
19,zentrale,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,296,0,0
20,Ursache,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,296,0,0
21,für,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,296,0,0
22,Desintegrationstendenzen,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,7,2,296,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,296,0,0
24,spätkapitalistischen,0.0,0,0,20,0,0,0,0,0,0,0,0,7,2,296,0,0
25,Gesellschaften,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,296,0,0
26,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,296,0,0
27,häufig,0.0,0,0,6,0,0,0,0,0,0,0,0,7,21,16,0,0
28,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
29,Zerfall,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
30,traditioneller,0.0,0,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
31,Gemeinschaftsfonnen,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,7,2,16,0,0
32,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
