,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Buchbesprechungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,15,131,73,0,1
1,Christiane,0.1,1,0,10,0,0,0,0,0,0,0,0,9,17,162,0,0
2,Ludwig-Körner:,0.14285714285714285,1,0,14,0,0,1,0,0,0,0,0,9,2,162,0,0
3,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,162,0,0
4,Selbst­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,162,0,0
5,begriff,0.0,0,0,7,0,0,0,0,0,0,0,0,9,17,20,0,0
6,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,1,20,0,0
7,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,20,0,0
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
9,Psychotherapie.,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,3,20,0,0
10,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,9,17,20,0,0
11,wissenschaftshistorische,0.0,0,0,24,0,0,0,0,0,0,0,0,9,2,20,0,0
12,Unter­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
13,suchung.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,17,20,0,0
14,Wiesbaden,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,20,0,0
15,1992:,0.0,0,0,5,4,0,1,0,0,0,0,0,9,2,20,0,0
16,Deutscher,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
17,Universitätsverlag,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,17,20,0,0
18,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,17,228,0,0
19,"Autorin,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,6,228,0,0
20,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,7,228,0,0
21,Psychoanalytikerin,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,7,228,0,0
22,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,228,0,0
23,"Gestalttherapeutin,",0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,17,20,0,0
24,legt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
25,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
26,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
27,515,0.0,0,0,3,3,0,0,0,0,0,0,1,9,4,20,0,0
28,Seiten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,20,0,0
29,starken,0.0,0,0,7,0,0,0,0,0,0,0,0,9,17,20,0,0
30,Buch,0.25,1,0,4,0,0,0,0,0,0,0,0,9,5,20,0,0
31,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
32,umfassenden,0.0,0,0,11,0,0,0,0,0,0,0,0,9,5,20,0,0
33,Überblick,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,20,0,0
34,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,17,20,0,0
35,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
36,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,20,0,0
37,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
38,"""Selbst""",0.125,0,0,8,0,0,0,0,0,0,0,0,9,5,20,0,0
39,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
40,William,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,5,20,0,0
41,James,0.2,1,0,5,0,0,0,0,0,0,0,0,9,17,19,0,0
42,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,7,19,0,0
43,verschiedene,0.0,0,0,12,0,0,0,0,0,0,0,0,9,7,19,0,0
44,"Therapieschulen,",0.0625,1,0,16,0,0,0,0,0,0,0,0,9,7,19,0,0
45,forschungstechnisch,0.0,0,0,19,0,0,0,0,0,0,0,0,9,17,20,0,0
46,erhobene,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
47,Befunde,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
48,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
49,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,20,0,0
50,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,17,20,0,0
51,modemen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,20,0,0
52,Kleinkindforschern,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,5,20,0,0
53,vor.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,20,0,0
54,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
55,Schwerpunkt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,17,20,0,0
56,liegt,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
57,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
58,denjenigen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
59,"Theorien,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
60,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,17,20,0,0
61,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
62,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
63,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
64,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
65,Klinischen,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,20,0,0
66,Psy­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
67,chologie,0.0,0,0,8,0,0,0,0,0,0,0,0,9,17,20,0,0
68,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
69,Psychotherapie,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
70,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
71,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
72,sind.,0.0,0,0,5,0,0,0,0,0,0,0,0,9,17,20,0,0
73,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,31,19,0,0
74,Breite,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,19,0,0
75,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
76,"Wissens,",0.125,1,0,8,0,0,0,0,0,0,0,0,9,5,19,0,0
77,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
78,eh.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
79,Körner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,5,19,0,0
80,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,9,17,20,0,0
81,langjährigen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,20,0,0
82,Praxiserfahrungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,20,0,0
83,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,20,0,0
84,zwei,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
85,unterschiedlichen,0.0,0,0,17,0,0,0,0,0,0,0,0,9,17,20,0,0
86,Therapieparadigmen,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,4,20,0,0
87,eben­,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
88,so,0.0,0,0,2,0,0,0,0,0,0,0,0,9,17,20,0,0
89,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
90,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
91,wissenschaftlichen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,3,20,0,0
92,Tätigkeit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
93,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
94,Hochschullehrerin,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,17,20,0,0
95,"verdankt,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,20,0,0
96,läßt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
97,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
98,Buch,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
99,fast,0.0,0,0,4,0,0,0,0,0,0,0,0,9,17,20,0,0
100,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
101,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
102,"""Lehrbuch""",0.1,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
103,erscheinen:,0.0,0,0,11,0,0,1,0,0,0,0,0,9,3,20,0,0
104,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
105,kon­,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,20,0,0
106,sequente,0.0,0,0,8,0,0,0,0,0,0,0,0,9,17,19,0,0
107,Ausrichtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,5,19,0,0
108,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,19,0,0
109,Fragestellung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,19,0,0
110,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,19,0,0
111,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,17,20,0,0
112,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
113,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,20,0,0
114,spannungsreiche,0.0,0,0,15,0,0,0,0,0,0,0,0,9,5,20,0,0
115,Konstrukt,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,20,0,0
116,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
117,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,17,20,0,0
118,erschließt,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,20,0,0
119,wichtige,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
120,neue,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
121,Erkenntnisse,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
122,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,17,20,0,0
123,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
124,Einordnung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,20,0,0
125,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
126,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
