,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Buchbesprechungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,33,21,1,0
1,G.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,33,44,0,0
2,Kleining:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,9,3,44,0,0
3,Qualitativ-heuristische,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,9,3,44,0,0
4,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,9,33,20,0,0
5,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,20,0,0
6,Schriften,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,20,0,0
7,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
8,Theorie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,20,0,0
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,34,20,0,0
10,Praxis.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
11,Hamburg:,0.125,1,0,8,0,0,1,0,0,0,0,0,9,3,20,0,0
12,Fechner,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,20,0,0
13,Verlag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,20,0,0
14,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,33,88,0,0
15,1982,0.0,0,0,4,4,0,0,0,0,0,1,1,8,4,88,0,0
16,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,88,0,0
17,Aufsatz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,88,0,0
18,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,88,0,0
19,Methodologie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,88,1,0
20,qua­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,88,1,0
21,litativer,0.0,0,0,9,0,0,0,0,0,0,0,0,8,33,20,1,0
22,SozialJorschung,0.13333333333333333,1,0,15,0,0,0,0,0,0,0,0,8,3,20,1,0
23,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
24,Kleining,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
25,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
27,Kölner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,33,19,1,0
28,Zeitschrift,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,19,1,0
29,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,1,0
30,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,19,1,0
31,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,1,0
32,Sozial­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,1,0
33,psychologie,0.0,0,0,11,0,0,0,0,0,0,0,0,8,32,19,1,0
34,erschien,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
36,mir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
37,glücklicherwei­,0.0,0,0,15,0,0,0,0,0,0,0,0,8,2,19,0,0
38,se,0.0,0,0,2,0,0,0,0,0,0,0,0,8,33,20,0,0
39,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
40,alsbald,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
41,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
42,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
43,Hände,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
44,"fiel,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
45,las,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
46,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
47,ihn,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
48,fast,0.0,0,0,4,0,0,0,0,0,0,0,0,8,33,20,0,0
49,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
50,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
51,Offenbarung:,0.08333333333333333,1,0,12,0,0,1,0,0,0,0,0,8,4,20,0,0
52,Endlich,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
53,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
54,Sy­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
55,stematik,0.0,0,0,8,0,0,0,0,0,0,0,0,8,33,19,0,0
56,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
57,Einordnung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
58,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
59,qualitativen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
60,For­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
61,schung,0.0,0,0,6,0,0,0,0,0,0,0,0,8,33,19,0,0
62,ohne,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
63,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
64,leidige,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
65,Polemik,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
66,"""quantitativ",0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,19,0,0
67,vs,0.0,0,0,2,0,0,0,0,0,0,0,0,8,33,19,0,0
68,"qualitativ"",",0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,19,0,0
69,endlich,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
70,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,19,0,0
71,positive,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
72,Bestim­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,19,0,0
73,mung,0.0,0,0,4,0,0,0,0,0,0,0,0,8,33,19,0,0
74,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
75,qualitativer,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,19,0,0
76,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
77,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
78,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
79,lediglich,0.0,0,0,9,0,0,0,0,0,0,0,0,8,33,19,0,0
80,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
81,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
82,Abgrenzung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
83,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
84,quantitativer,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,19,0,0
85,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,33,19,0,0
86,resultierende,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,19,0,0
87,"Position,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
88,endlich,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
89,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
90,historische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,33,19,0,0
91,"Einordnung,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,7,19,0,0
92,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,7,19,0,0
93,grundlegende,0.0,0,0,12,0,0,0,0,0,0,0,0,8,6,19,0,0
94,Zielorientierung,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,33,19,0,0
95,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
96,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
97,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
98,praktisches,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
99,Han­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
100,deln,0.0,0,0,4,0,0,0,0,0,0,0,0,8,33,19,0,0
101,umsetzbare,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,19,0,0
102,Anleitung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
103,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
104,allgemeinen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,19,0,0
105,"""Regeln"".",0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,8,33,20,0,0
106,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,47,19,0,0
107,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
108,grundlegenden,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,19,0,0
109,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
110,beginnt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
111,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,33,19,0,0
112,Sammlung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
113,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,19,0,0
114,Aufsätzen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
115,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
116,"Skizzen,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
117,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
118,Kleining,0.125,1,0,8,0,0,0,0,0,0,0,0,8,33,19,0,0
