,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Aktuelles,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,15,158,72,0,1
1,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,15,4,72,0,1
2,Hubert,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,170,143,1,1
3,L.,0.5,1,0,2,0,0,0,0,0,0,0,0,12,2,143,1,1
4,Dreyfus,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,143,1,1
5,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,147,168,0,0
6,Gespräch,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,168,0,0
7,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,168,0,0
8,Christina,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,168,1,0
9,Schachtner,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,168,1,0
10,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,33,199,1,0
11,Person:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,7,2,199,1,0
12,Hubert,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,199,0,0
13,L.,0.5,1,0,2,0,0,0,0,0,0,0,0,7,1,199,0,0
14,Dreyfus,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,199,0,0
15,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,199,0,0
16,Professor,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,199,0,0
17,filr,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,199,0,0
18,Philosophie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,199,0,0
19,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,199,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,199,0,0
21,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,199,0,0
22,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,199,0,0
23,KalifomienlBerkeley.,0.1,1,0,20,0,0,0,0,0,0,0,0,7,2,199,0,0
24,Veröffent­,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,199,0,0
25,lichungen,0.0,0,0,9,0,0,0,0,0,0,0,0,7,33,16,0,0
26,u.,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
27,a.:,0.0,0,0,3,0,0,1,0,0,0,0,0,7,2,16,0,0
28,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,1,0
29,Grenzen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,16,1,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,1,0
31,Künstlichen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,1,0
32,Intelligenz,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,1,0
33,"(1985),",0.0,0,0,7,4,0,0,0,0,0,0,0,7,2,16,0,0
34,Künstliche,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,16,1,0
35,Intelligenz,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,16,1,0
36,"(1986),",0.0,0,0,7,4,0,0,0,0,0,0,0,7,3,16,0,0
37,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
38,Zusammenarbeit,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,3,16,0,0
39,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,33,15,0,0
40,seinem,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
41,Bruder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
42,Stuart,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,15,0,0
43,Dreyfus.,0.125,1,0,8,0,0,0,0,0,0,0,0,7,1,15,0,0
44,In,0.5,1,0,2,0,0,0,0,0,0,0,0,7,42,16,0,0
45,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
46,Zeitschriftftlr,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,2,16,1,0
47,Philosophie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,1,0
48,erschienen,0.0,0,0,10,0,0,0,0,0,0,0,0,7,3,16,0,0
49,1993,0.0,0,0,4,4,0,0,0,0,0,1,1,7,3,16,0,0
50,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
51,beiden,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
52,Aufsätze,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
53,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,1,0
54,Computer,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,1,0
55,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,1,0
56,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,1,0
57,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,1,0
58,können,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,1,0
59,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,33,15,0,0
60,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,15,1,0
61,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,15,1,0
62,moralische,0.0,0,0,10,0,0,0,0,0,0,0,0,7,1,15,1,0
63,Reife?,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,1,15,1,0
64,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,1,15,0,0
65,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,15,0,0
66,Gespräch,0.125,1,0,8,0,0,0,0,0,0,0,0,7,1,15,0,0
67,fand,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,15,0,0
68,statt,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,15,0,0
69,am,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,15,0,0
70,14.,0.0,0,0,3,2,0,0,0,0,0,0,1,7,2,15,0,0
71,10.,0.0,0,0,3,2,0,0,0,0,0,0,1,7,2,15,0,0
72,1994,0.0,0,0,4,4,0,0,0,0,0,1,1,7,2,15,0,0
73,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,15,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,15,0,0
75,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,1,15,0,0
76,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,15,0,0
77,KalifomienlBerkeley.,0.1,1,0,20,0,0,0,0,0,0,0,0,7,1,15,0,0
78,Ch.,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,32,269,1,0
79,Schachtner:,0.09090909090909091,1,0,11,0,0,1,0,0,0,0,0,8,10,269,1,0
80,Professor,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,10,269,0,0
81,"Dreyfus,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,9,269,0,0
82,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,9,269,0,0
83,möchte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,32,20,0,0
84,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
85,Ihnen,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
86,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
87,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
88,Erwerb,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
89,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
90,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
