,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Herrschaft,0.1,1,0,10,0,0,0,0,0,0,0,0,8,277,22,1,0
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,22,1,0
2,Genossenschaft,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,1,22,1,0
3,Herrschaft,0.1,1,0,10,0,0,0,0,0,0,0,0,12,118,62,0,0
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,62,0,0
5,Genossenschaft,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,4,62,0,0
6,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,58,88,0,0
7,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,10,3,88,0,0
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,88,0,0
9,Gemeinde,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,88,0,0
10,als,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,88,0,0
11,"""politische",0.0,0,0,11,0,0,0,0,0,0,0,0,10,3,88,0,0
12,"Gemeinschaft""",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,3,88,0,0
13,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,178,110,1,0
14,Sonntag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,110,1,0
15,Zusammenfassung:,0.0625,1,0,16,0,0,1,0,0,0,0,0,7,21,145,0,0
16,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,145,0,0
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,145,0,0
18,letzter,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,145,0,0
19,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,145,0,0
20,so,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,145,0,0
21,lautstarken,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,145,0,0
22,Rufe,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,145,0,0
23,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,145,0,0
24,"""Gemeinschaft"",",0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,7,2,145,0,0
25,"""Solidarität"",",0.07142857142857142,0,0,14,0,0,0,0,0,0,0,0,7,2,145,0,0
26,"""neuen",0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,145,0,0
27,moralischen,0.0,0,0,11,0,0,0,0,0,0,0,0,7,2,145,0,0
28,"Werten""",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,21,16,0,0
29,usw.,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
30,appellieren,0.0,0,0,11,0,0,0,0,0,0,0,0,7,3,16,0,0
31,an,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
32,unser,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
33,aller,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
34,guten,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
35,"Willen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
36,reflektieren,0.0,0,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
37,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
38,weder,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
39,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
40,Problem,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,16,0,0
41,sozialer,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
42,"Gerechtigkeit,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,16,0,0
43,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,7,21,16,0,0
44,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
45,strukturellen,0.0,0,0,13,0,0,0,0,0,0,0,0,7,2,16,0,0
46,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,16,0,0
47,"politischen,",0.0,0,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
48,"sozialen,",0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
49,ökonomischen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
50,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,16,0,0
51,"Bedingungen,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,16,0,0
52,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
53,gegeben,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
54,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
55,"müssen,",0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
56,um,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
57,"""gemein­",0.0,0,0,8,0,0,0,0,0,0,0,0,7,1,16,0,0
58,"schaftlich""",0.0,0,0,11,0,0,0,0,0,0,0,0,7,20,16,0,0
59,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
60,"""moralisch""",0.0,0,0,11,0,0,0,0,0,0,0,0,7,1,16,0,0
61,leben,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
62,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,16,0,0
63,können.,0.0,0,0,7,0,0,0,0,0,0,0,0,7,1,16,1,0
64,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
65,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
66,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
67,Gemeinde,0.125,1,0,8,0,0,0,0,0,0,0,0,7,1,16,1,0
68,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
69,autonomer,0.0,0,0,9,0,0,0,0,0,0,0,0,7,2,16,0,0
70,politisch-rechtlicher,0.0,0,0,21,0,0,0,0,0,0,0,0,7,2,16,0,0
71,Körper­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
72,"schaft,",0.0,0,0,7,0,0,0,0,0,0,0,0,7,21,16,0,0
73,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
74,es,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
75,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
76,Europa,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
77,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
78,letzten,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
79,2000,0.0,0,0,4,4,0,0,0,0,0,1,1,7,2,16,0,0
80,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,7,1,16,0,0
81,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
82,ftlr,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
83,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,16,0,0
84,eher,0.0,0,0,4,0,0,0,0,0,0,0,0,7,1,16,0,0
85,kurzen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,1,16,0,0
86,Zeitraum,0.125,1,0,8,0,0,0,0,0,0,0,0,7,1,16,0,0
87,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,16,0,0
88,hohen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,16,0,0
89,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
90,spllten,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
91,Mittelalter,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,1,16,0,0
92,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,7,1,16,0,0
93,geben,0.0,0,0,5,0,0,0,0,0,0,0,0,7,21,16,0,0
94,"hat,",0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,16,0,0
95,"zeigt,",0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
96,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
97,es,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
98,schwerfallen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
99,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
100,jenseits,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,16,0,0
101,aller,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
102,historischen,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,16,0,0
103,Bedingungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,2,16,0,0
104,staat1icher,0.0,0,0,11,1,0,0,0,0,0,0,0,7,2,16,0,0
105,Zentralisierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,1,16,0,0
106,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
107,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
108,sellschaftlicher,0.0,0,0,16,0,0,0,0,0,0,0,0,7,21,16,0,0
109,Differenzierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,1,16,0,0
110,"""neue",0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,16,0,0
111,"Werte""",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
112,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
113,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,16,0,0
114,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
115,fromme,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
116,Wirken,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,16,0,0
117,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,16,0,0
118,guten,0.0,0,0,5,0,0,0,0,0,0,0,0,7,1,16,0,0
119,Absicht,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,16,0,0
120,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,16,0,0
