,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Debatten,0.125,1,0,8,0,0,0,0,0,0,0,0,15,116,77,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,15,4,77,0,1
2,Kontroversen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,15,5,77,0,1
3,Sexueller,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,159,155,0,1
4,Mißbrauch,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,3,155,0,1
5,Zwei,0.25,1,0,4,0,0,0,0,0,0,0,0,10,59,181,0,1
6,Konzepte,0.125,1,0,8,0,0,0,0,0,0,0,0,10,2,181,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,181,0,1
8,Anti-Mißbrauchsarbeit,0.09523809523809523,1,0,21,0,0,0,0,0,0,0,0,10,2,181,0,1
9,-,0.0,0,0,1,0,0,0,0,0,0,0,0,10,2,181,0,1
10,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,5,181,0,1
11,Streitgespräch,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,10,3,181,0,1
12,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,31,220,0,1
13,Einführung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,220,0,1
14,Kaum,0.25,1,0,4,0,0,0,0,0,0,0,0,9,32,242,0,0
15,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,242,0,0
16,Fernsehkanal,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,242,0,0
17,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,242,0,0
18,kaum,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,242,0,0
19,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,242,0,0
20,Zeit­,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,242,0,0
21,schrift,0.0,0,0,7,0,0,0,0,0,0,0,0,9,31,20,0,0
22,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,20,0,0
23,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
25,letzter,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,20,0,0
26,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
27,"unterlassen,",0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,20,0,0
28,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,31,20,0,0
29,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,20,0,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
31,sog.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
32,"""Mißbrauch",0.1,0,0,10,0,0,0,0,0,0,0,0,9,5,20,0,0
33,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
34,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
35,Miß­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
36,"brauch""-Kampagne",0.0625,0,0,16,0,0,0,0,0,0,0,0,9,31,20,0,0
37,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,20,0,0
38,exponieren.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,20,0,0
39,Über,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,20,0,0
40,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
41,Motive,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,32,20,0,0
42,läßt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
43,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,20,0,0
44,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
45,spekulieren.,0.0,0,0,12,0,0,0,0,0,0,0,0,9,2,20,0,0
46,VordergrUndig,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,9,46,20,0,0
47,betrachtet,0.0,0,0,10,0,0,0,0,0,0,0,0,9,5,20,0,0
48,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,20,0,0
49,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,20,0,0
50,Posi­,0.2,1,0,5,0,0,0,0,0,0,0,0,9,5,20,0,0
51,tionen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,31,20,0,0
52,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,20,0,0
53,KontrahentInnen,0.13333333333333333,1,0,15,0,0,0,0,0,0,0,0,9,2,20,0,0
54,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
55,Kampagne,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,20,0,0
56,unübersichtlich.,0.0,0,0,16,0,0,0,0,0,0,0,0,9,32,20,0,0
57,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,6,20,0,0
58,Argumente,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,20,0,0
59,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,20,0,0
60,meist,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,20,0,0
61,gründlich,0.0,0,0,9,0,0,0,0,0,0,0,0,9,32,20,0,0
62,"ideologisiert,",0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,20,0,0
63,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
64,Niveau,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
65,oft,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,20,0,0
66,indis­,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,20,0,0
67,"kutabel,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,32,20,0,0
68,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,20,0,0
69,Vehemenz,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,20,0,0
