,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,101,50,0,1
1,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,50,0,1
2,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,50,0,1
3,Allgemeinen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,3,50,0,1
4,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,4,50,0,1
5,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,10,129,70,0,1
6,Grundfragen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,4,70,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,70,0,1
8,Didaktik,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,70,0,1
9,Theodor,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,171,98,0,0
10,Bartmann,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,98,0,0
11,Zuummenf...ung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,23,134,0,1
12,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
13,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,1,20,0,0
14,stellt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
15,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
16,Grundfragen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
18,Didaktik,0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,20,0,0
19,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
20,allgemeinpsychologischer,0.0,0,0,24,0,0,0,0,0,0,0,0,8,2,20,0,0
21,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
22,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
23,Pro­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
24,bleme,0.0,0,0,5,0,0,0,0,0,0,0,0,8,23,20,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
26,Ordnungsbildung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,1,20,0,0
27,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
28,"Zentrierung,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,1,20,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
30,Optimierung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
31,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
32,Lehr-/Lernsituationen,0.09523809523809523,1,0,21,0,1,0,0,0,0,0,0,8,4,20,0,0
33,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,8,23,20,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
35,Selbstfindung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,20,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
37,Handlungsre­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
38,gulation,0.0,0,0,8,0,0,0,0,0,0,0,0,8,23,20,0,0
39,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
40,Lehrenden,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
41,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
42,Lernenden,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
43,her­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
44,aus.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,23,20,0,0
45,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
46,grundlegenden,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
47,Beitriigen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
48,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
49,Berli­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
50,ner,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
51,Schule,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,20,0,0
52,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
53,"Gestalttheorie,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,20,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
55,Individual­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,1,20,0,0
56,psychologie,0.0,0,0,11,0,0,0,0,0,0,0,0,8,23,20,0,0
57,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
58,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
59,Humanistischen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,1,20,0,0
60,Psycho­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
61,logie,0.0,0,0,5,0,0,0,0,0,0,0,0,8,23,20,0,0
62,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
63,Orientierungshilfen,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,20,0,0
64,abgeleitet,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
66,abschlieBend,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
67,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
68,4,0.0,0,0,1,1,0,0,0,0,0,0,1,8,3,20,0,0
69,Thesen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,20,0,0
70,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
71,Verbesse­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
72,rung,0.0,0,0,4,0,0,0,0,0,0,0,0,8,23,20,0,0
73,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
74,Lernkontinuitiit,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,20,0,0
75,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
76,Lehr-/,0.16666666666666666,1,0,6,0,1,0,0,0,0,0,0,8,4,20,0,0
77,Lernpro­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
78,zessen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,23,20,0,0
79,zusammengefaBt.,0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,8,2,20,0,0
80,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,23,316,0,0
81,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,316,0,0
82,gegenwartigen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,316,0,0
83,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,316,0,0
84,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,316,0,0
85,Di­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,316,0,0
86,daktikbegriftes,0.0,0,0,15,0,0,0,0,0,0,0,0,8,23,20,0,0
87,zeichnet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
88,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
89,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
90,Tendenz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
91,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,23,20,0,0
92,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
93,erweiterten,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
94,Begriffsverstandnis,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,20,0,0
95,ab.Danach,0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,8,23,20,0,0
96,schlieP.>t,0.1,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
97,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
98,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
99,))Didaktik«,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
100,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
101,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
102,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
103,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
104,Methoden,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
105,ein;,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
106,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
107,geht,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
108,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,23,20,0,0
109,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
110,Didaktik,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
111,also,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,20,0,0
112,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
113,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
114,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
115,Fragen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
116,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
117,"Inhalts,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,23,20,0,0
118,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,6,20,0,0
119,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,20,0,0
120,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,20,0,0
121,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
122,Vermitt­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,20,0,0
123,lungsproblem,0.0,0,0,12,0,0,0,0,0,0,0,0,8,23,20,0,0
124,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,20,0,0
125,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
126,weitesten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
127,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
128,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
129,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
130,Problem,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,23,20,0,0
131,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,20,0,0
132,))Theorie,0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,8,5,20,0,0
133,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
134,Praxis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,6,20,0,0
135,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
136,Lehrens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,23,20,0,0
137,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
138,Lernens«,0.125,1,0,8,0,0,0,0,0,0,0,0,8,7,20,0,0
139,(Jank,0.2,0,0,5,0,0,0,0,0,0,0,0,8,7,20,0,0
140,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,6,20,0,0
141,Meyer,0.2,1,0,5,0,0,0,0,0,0,0,0,8,6,20,0,0
142,"1991,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,23,20,0,0
143,S.16;,0.2,1,0,5,2,0,0,0,0,0,0,0,8,3,20,0,0
144,vgl.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
145,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
146,Achtenhagen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
147,"1975,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,4,20,0,0
148,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,23,20,0,0
149,454).,0.0,0,0,5,3,0,0,0,0,0,0,0,8,3,20,0,0
150,Diese,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
151,Arbeitsdefinition,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,2,20,0,0
152,bildet,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
153,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
154,Ausgangspunkt,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,23,20,0,0
155,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
156,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
157,Oberlegun­,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
158,"gen,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,23,20,0,0
159,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
160,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
161,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
162,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
163,Aligemeinen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
164,Psy­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
165,"chologie,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,23,20,0,0
166,also,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
167,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
168,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
169,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
170,seelisch­,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
171,geistigen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,23,20,0,0
172,Grundfunktionen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,20,0,0
173,"(Wahrnehmung,",0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
174,Gedachtnis,0.1,1,0,10,0,0,0,0,0,0,0,0,8,23,20,0,0
175,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
176,"Lernen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
177,"Denken,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
178,Motivation,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
179,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
180,Emotion),0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
181,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
182,Problemfeld,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
183,))Didaktik«,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
184,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
185,Gegenstand,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
186,haben.Orientierungshilfe,0.041666666666666664,0,0,24,0,0,0,0,0,0,0,0,8,2,20,0,0
187,leistet,0.0,0,0,7,0,0,0,0,0,0,0,0,8,23,20,0,0
188,grundlegend,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
189,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
190,Gestalttheorie;,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,20,0,0
191,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
192,Vertreter,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,23,20,0,0
193,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
194,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
195,Forderung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
196,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
197,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
198,Revision,0.125,1,0,8,0,0,0,0,0,0,0,0,8,24,20,0,0
199,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
200,psychologischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,20,0,0
201,Fragestel­,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
202,"lung,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,23,20,0,0
203,ausgehend,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
204,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
205,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
206,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
207,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
208,Wahrnehmung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,23,20,0,0
209,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
210,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
211,"Denkens,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
212,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
213,An­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
214,fang,0.0,0,0,4,0,0,0,0,0,0,0,0,8,23,20,0,0
215,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
216,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
217,besonderem,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
218,Nachdruck,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
219,ver­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
220,treten.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,23,20,0,0
221,Zusatzlich,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
222,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
223,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
224,Beitragen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
225,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
226,Ber­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
227,liner,0.0,0,0,5,0,0,0,0,0,0,0,0,8,23,20,0,0
228,Schule,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
229,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
230,Gestaltpsychologie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,5,20,0,0
231,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,20,0,0
232,4.,0.0,0,0,2,1,0,0,0,0,0,0,1,7,23,655,0,0
233,"JAHRGANG,",0.8888888888888888,1,0,9,0,0,0,0,0,0,0,0,6,2,655,0,0
234,HEFT,1.0,1,0,4,0,0,0,0,0,0,0,0,7,3,655,0,0
235,2,0.0,0,0,1,1,0,0,0,0,0,0,1,7,2,655,0,0
236,Ash,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,217,135,0,0
237,"1996,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,4,135,0,0
238,"Kap.13,",0.14285714285714285,1,0,7,2,0,0,0,0,0,0,0,8,4,135,0,0
239,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,135,0,0
240,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,135,0,0
241,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,135,0,0
242,Feld­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,135,0,0
243,theorie,0.0,0,0,7,0,0,0,0,0,0,0,0,8,217,20,0,0
244,Kurt,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
245,Lewins,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
246,(1982;,0.0,0,0,6,4,0,0,0,0,0,0,0,8,4,20,0,0
247,vgl.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
248,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
249,Ash,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
250,"1996,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,218,20,0,0
251,Kap.16).,0.125,1,0,8,2,0,0,0,0,0,0,0,8,4,20,0,0
252,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
253,Individualpsychologie,0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,8,7,20,0,0
254,Alfred,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,217,20,0,0
255,Adlers,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,6,20,0,0
256,(1976).,0.0,0,0,7,4,0,0,0,0,0,0,0,8,6,20,0,0
257,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
258,Humanistische,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,6,20,0,0
259,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,218,20,0,0
260,Carl,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
261,Rogers,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
262,(1974),0.0,0,0,6,4,0,0,0,0,0,0,0,8,5,20,0,0
263,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
264,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
265,Handlungstheorie,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,218,20,0,0
266,Walter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
267,Volperts,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
268,(1986).,0.0,0,0,7,4,0,0,0,0,0,0,0,8,3,20,0,0
269,insofern,0.0,0,0,8,0,0,0,0,0,0,0,0,8,217,20,0,0
270,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
271,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
272,Schulen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
273,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
274,gestaltpsy­,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
275,chologischen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,218,20,0,0
276,Erneuerungsimpulse,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,20,0,0
277,aufge­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
278,griffen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,218,20,0,0
279,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
280,weitergedacht,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
281,worden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
282,"sind,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
283,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
284,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,218,20,0,0
285,Erorterung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
286,einbezogen.,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
287,GESETZMABIGKEITEN,1.0,1,0,17,0,0,0,0,0,0,0,0,6,217,267,0,1
288,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,6,2,267,0,1
289,ORDNUNGSBILDUNG,1.0,1,0,15,0,0,0,0,0,0,0,0,6,2,267,0,1
290,Zu,0.5,1,0,2,0,0,0,0,0,0,0,0,8,217,19,0,0
291,denjenigen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
292,kognitiven,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
293,"Grundleistungen,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,19,0,0
294,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,217,20,0,0
295,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
296,Individuum,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
297,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
298,erst,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
299,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
300,Lehr­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
301,Lernprozesse,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,218,20,0,0
302,vermittelt,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
303,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
304,"mussen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
305,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,218,20,0,0
306,vielmehr,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
307,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,20,0,0
308,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
309,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
