,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ansitze,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,11,97,35,0,1
1,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,11,3,35,0,1
2,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,11,4,35,0,1
3,selbstreflexiven,0.0,0,0,16,0,0,0,0,0,0,0,0,11,3,35,0,1
4,Dimension,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,4,35,0,1
5,in,0.0,0,0,2,0,0,0,0,0,0,0,0,11,155,29,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,29,0,1
7,Hochschuldidaktik,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,11,3,29,0,1
8,Am,0.5,1,0,2,0,0,0,0,0,0,0,0,8,75,71,0,1
9,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,71,0,1
10,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,71,0,1
11,Lehrveranstaltung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,71,0,1
12,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,71,0,1
13,Pidagogischer,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,71,0,1
14,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,71,0,1
15,Renate,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,178,91,0,0
16,Haack,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,91,0,0
17,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,91,0,0
18,Wegner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,91,0,0
19,Zusemmenfessung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,42,131,0,1
20,1m,0.0,0,0,2,1,0,0,0,0,0,0,1,8,42,19,0,0
21,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
22,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
23,zunachst,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
25,jetzige,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
26,Stand,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,20,0,0
28,(padagogischenl,0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,20,0,0
29,Didaktik-Debatte,0.125,1,0,16,0,0,0,0,0,0,0,0,8,4,20,0,0
30,kurz,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
31,dargestellt.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,42,20,0,0
32,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
33,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
34,Zusammenhang,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
35,be­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
36,schreibt,0.0,0,0,8,0,0,0,0,0,0,0,0,8,42,20,0,0
37,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
38,Autorin,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
39,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
40,gestaltpadagogi­,0.0,0,0,16,0,0,0,0,0,0,0,0,8,5,20,0,0
41,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,42,20,0,0
42,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,20,0,0
43,personenzentrierten,0.0,0,0,19,0,0,0,0,0,0,0,0,8,2,20,0,0
44,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,20,0,0
45,Ansatz.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,1,20,0,0
46,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
47,Aus­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
48,einandersetzung,0.0,0,0,15,0,0,0,0,0,0,0,0,8,43,20,0,0
49,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,7,20,0,0
50,entwickelt,0.0,0,0,10,0,0,0,0,0,0,0,0,8,6,20,0,0
51,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
52,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,7,20,0,0
53,enger,0.0,0,0,5,0,0,0,0,0,0,0,0,8,43,20,0,0
54,Verbindung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,1,20,0,0
55,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
56,Praxis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
57,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
58,Theorie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,1,20,0,0
59,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
60,psychoanalytisch,0.0,0,0,16,0,0,0,0,0,0,0,0,8,43,20,0,0
61,orientiertes,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
62,selbstreflexi­,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,20,0,0
63,ves,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,20,0,0
64,Didaktikprinzip.,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,5,20,0,0
65,Beruhrungspunkte,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,43,20,0,0
66,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
67,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
68,"Theorie,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
