,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,KZ,1.0,1,0,2,0,0,0,0,0,0,0,0,11,33,72,0,0
1,-,0.0,0,0,1,0,0,0,0,0,0,0,0,11,3,72,0,1
2,System,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,3,72,0,1
3,-,0.0,0,0,1,0,0,0,0,0,0,0,0,11,3,72,0,1
4,Normalitit.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,11,3,72,0,1
5,Moderne,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,11,3,72,0,1
6,im/als,0.0,0,0,6,0,1,0,0,0,0,0,0,11,3,72,0,1
7,Ausnahmezustand,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,11,3,72,0,1
8,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,8,168,96,0,0
9,Hegener,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,96,0,0
10,ZUummenfuaung,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,7,20,132,0,1
11,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,20,20,0,0
12,Autor,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
13,untersucht,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
14,50,0.0,0,0,2,2,0,0,0,0,0,0,1,8,2,20,0,0
15,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
16,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
17,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
18,En­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
19,de,0.0,0,0,2,0,0,0,0,0,0,0,0,8,20,20,0,0
20,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
21,Nationalsozialismus,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,2,20,0,0
22,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
23,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
24,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
25,Hin­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
26,tergrund,0.0,0,0,8,0,0,0,0,0,0,0,0,8,20,20,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
28,Diagnose,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
29,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
30,))postmodernen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,20,0,0
31,Gesellschaft«,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,20,20,0,0
32,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
33,einzelnen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
34,sowohl,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
35,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
36,Hin­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
37,tergrOnde,0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,8,20,20,0,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
39,Mechanismen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
40,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
41,Vernich­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
42,tung,0.0,0,0,4,0,0,0,0,0,0,0,0,8,20,20,0,0
43,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
44,europaischen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
45,Juden,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
46,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
47,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
48,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
49,System,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,20,20,0,0
50,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
51,Konzentrationslager,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,4,20,0,0
52,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
53,rOckt,0.2,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
54,beide,0.0,0,0,5,0,0,0,0,0,0,0,0,8,20,20,0,0
55,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
56,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
57,Logik,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
58,moderner,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
59,Vergesellschaf­,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,20,0,0
60,tung,0.0,0,0,4,0,0,0,0,0,0,0,0,8,20,20,0,0
61,ein.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
62,Wenn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
63,jedoch,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
64,Vernichtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
66,Kon­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
67,zentration,0.0,0,0,10,0,0,0,0,0,0,0,0,8,20,20,0,0
68,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
69,Signatur,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
70,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
71,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
72,Fort­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
73,schritts,0.0,0,0,8,0,0,0,0,0,0,0,0,8,20,20,0,0
74,tragen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
75,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
76,somit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
77,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
78,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
79,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
80,»Zivi­,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
81,"Iisationsbruchcc,",0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,20,20,0,0
82,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
83,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
84,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
85,eigentliche,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
86,»Testder,0.125,0,0,8,0,0,0,0,0,0,0,0,8,20,20,0,0
87,Moderne«,0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,20,0,0
88,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
89,gelten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
90,"haben,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
91,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,20,0,0
92,al­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
93,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,20,20,0,0
94,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
95,moderne,0.0,0,0,7,0,0,0,0,0,0,0,0,8,1,20,0,0
96,Zivilisation,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,1,20,0,0
97,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
98,Holocaust,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,1,20,0,0
99,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
100,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,20,20,0,0
101,Konzentrationslager,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,20,0,0
102,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
103,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
104,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
105,ver­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
106,"hindert,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,20,20,0,0
107,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
108,geradezu,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
109,hervorgebracht,0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
110,"hat,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,20,20,0,0
111,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
112,stellt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
113,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
114,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
115,brennende,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
116,"Frage,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
117,ob,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
118,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
119,»Variablen«,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,8,21,20,0,0
120,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
121,"Moderne,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
122,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
123,dies,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
124,moglich,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
125,gemacht,0.0,0,0,7,0,0,0,0,0,0,0,0,8,20,20,0,0
