,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,LEHREN,1.0,1,0,6,0,0,0,0,0,0,0,0,8,111,58,0,0
1,UNO,1.0,1,0,3,0,0,0,0,0,0,0,0,8,3,58,0,0
2,LERNEN,1.0,1,0,6,0,0,0,0,0,0,0,0,8,3,58,0,0
3,VON,1.0,1,0,3,0,0,0,0,0,0,0,0,8,3,58,0,0
4,PSYCHOLOGIE,1.0,1,0,11,0,0,0,0,0,0,0,0,8,4,58,0,0
5,Oidaktische,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,107,79,0,0
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,79,0,0
7,methodische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,79,0,0
8,Uberlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,79,0,0
9,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,112,94,0,0
10,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,94,0,0
11,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,94,0,0
12,Psychologie8usbildung,0.047619047619047616,1,0,21,1,0,0,0,0,0,0,0,8,3,94,0,0
13,Hans,0.25,1,0,4,0,0,0,0,0,0,0,0,8,176,123,0,0
14,Hermsen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,123,0,0
15,Zuummenf...ung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,20,158,0,0
16,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,21,20,0,0
17,folgende,0.0,0,0,8,0,0,0,0,0,0,0,0,8,1,20,0,0
18,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
19,versucht,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
20,einige,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
21,wichtige,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
22,Arbeitsschritte,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,20,20,0,0
23,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
25,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,20,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
27,AG,1.0,1,0,2,0,0,0,0,0,0,0,0,8,1,20,0,0
28,IlLehren,0.25,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
29,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,21,20,0,0
30,Lernen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
31,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
32,"Psychologie,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,20,0,0
33,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
34,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,21,20,0,0
