,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,s,0.0,0,0,1,0,0,0,0,0,0,0,0,17,321,26,0,0
1,Angewandte,0.1,1,0,10,0,0,0,0,0,0,0,0,10,51,67,0,1
2,Forschung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,3,67,0,1
3,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,67,0,1
4,Anwendungspraxis,0.0625,1,0,16,0,0,0,0,0,0,0,0,10,3,67,0,1
5,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,67,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,67,0,1
7,psychologischen,0.0,0,0,15,0,0,0,0,0,0,0,0,10,97,87,0,1
8,Aus-,0.25,1,0,4,0,0,0,0,0,0,0,0,10,3,87,0,1
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,4,87,0,1
10,Fortbildung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,3,87,0,1
11,Am,0.5,1,0,2,0,0,0,0,0,0,0,0,9,43,109,0,1
12,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,109,0,1
13,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,109,0,1
14,Erwerbs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,109,0,1
15,psychologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,9,2,109,0,1
16,Basiskompetenzen,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,2,109,0,1
17,im,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,109,0,1
18,Bereich,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,109,0,1
19,systematischer,0.0,0,0,14,0,0,0,0,0,0,0,0,9,116,127,0,1
20,Entspannungsmethoden,0.05,1,0,20,0,0,0,0,0,0,0,0,9,2,127,0,1
21,Gunter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,173,151,0,0
22,Krampen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,151,0,0
23,Zu••mmenf...ung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,20,193,0,1
24,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,20,19,0,0
25,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,7,19,0,0
26,Erfahrungsbericht,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,7,19,0,0
27,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,7,19,0,0
28,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,7,19,0,0
29,Grundlagen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,20,20,0,0
30,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
31,didaktischen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
32,Konzepts,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
33,fur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
34,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,20,20,0,0
35,Aus-,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
37,Fortbildung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
38,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
39,Diplom-Psy­,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
40,chologen/innen,0.0,0,0,14,0,1,0,0,0,0,0,0,8,19,20,0,0
41,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
42,systematischen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,20,0,0
43,Entspan­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
44,nungsmethoden,0.0,0,0,13,0,0,0,0,0,0,0,0,8,20,20,0,0
45,reflektiert.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,6,20,0,0
46,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
47,Aus-,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
49,Fortbildung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,20,20,0,0
50,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
51,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
52,solchen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
53,Interventions­,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,20,0,0
54,methode,0.0,0,0,7,0,0,0,0,0,0,0,0,8,20,20,0,0
55,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,20,0,0
56,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
57,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
58,Moglichkeit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
59,fur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
60,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
61,Er­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
62,werb,0.0,0,0,4,0,0,0,0,0,0,0,0,8,20,20,0,0
63,psychologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,20,0,0
64,Basiskompetenzen,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,20,0,0
65,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
66,allen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,20,20,0,0
67,Aufgabenbereichen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,20,0,0
68,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
69,Angewandten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
70,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,20,20,0,0
71,verstanden.,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
72,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
73,entsprechendes,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,20,0,0
74,"Ausbildungskonzept,",0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,20,20,0,0
75,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
76,neben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
77,Selbsterfah­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
78,rungen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,20,20,0,0
79,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
80,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
81,"Methode,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,20,0,0
82,theoretischer,0.0,0,0,13,0,0,0,0,0,0,0,0,8,1,20,0,0
83,Grund­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,1,20,0,0
84,lagenarbeit,0.0,0,0,11,0,0,0,0,0,0,0,0,8,20,20,0,0
