,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,23,82,0,0
1,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,6,82,0,0
2,Buchholz,0.125,1,0,8,0,0,0,0,0,0,0,0,8,7,82,0,0
3,(Hrsg):,0.14285714285714285,0,0,7,0,0,1,0,0,0,0,0,8,6,82,0,0
4,Psycho­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,7,82,0,0
5,therapeutische,0.0,0,0,14,0,0,0,0,0,0,0,0,8,22,20,0,0
6,Interaktion.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
7,Qualitative,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
8,Studien,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,23,21,0,0
9,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
10,Konversation,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
12,"Metapher,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
13,Geste,0.2,1,0,5,0,0,0,0,0,0,0,0,8,23,21,0,0
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
15,Plan.,0.2,1,0,5,0,0,0,0,0,0,0,0,8,6,21,0,0
16,Opladen1995:,0.08333333333333333,1,0,12,4,0,1,0,0,0,0,0,8,6,21,0,0
17,West­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,6,21,0,0
18,deutscher,0.0,0,0,9,0,0,0,0,0,0,0,0,8,23,20,0,0
19,Verlag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
20,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,23,155,0,0
21,passiert,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,155,0,0
22,eigentlich,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,155,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,155,0,0
24,Psychotherapien,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,155,0,0
25,jenseits,0.0,0,0,8,0,0,0,0,0,0,0,0,9,22,20,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
27,gelehrten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,1,20,0,0
28,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
29,gelernten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
30,Metho­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
31,den?,0.0,0,0,4,0,0,0,0,0,0,0,0,8,22,21,0,0
32,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
33,"Analyse,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
34,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
35,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
36,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
37,mentale,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
38,Re­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
39,prasentationen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,23,20,0,0
40,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
41,Therapeutlnnen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,20,0,0
42,schaut,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
43,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,23,20,0,0
44,Thommen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
45,et,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
46,al.,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
47,1988).,0.0,0,0,6,4,0,0,0,0,0,0,0,8,5,20,0,0
48,verliert,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
49,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
50,leicht,0.0,0,0,6,0,0,0,0,0,0,0,0,8,23,20,0,0
51,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
52,"Konstrukten,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
53,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
54,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
55,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,1,20,0,0
56,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
57,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
58,therapeutische,0.0,0,0,14,0,0,0,0,0,0,0,0,8,22,21,0,0
59,Praxis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
60,zuruckzuubersetzen,0.0,0,0,18,0,0,0,0,0,0,0,0,8,3,21,0,0
61,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,22,20,0,0
62,(Schmitt,0.125,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
63,1989).,0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,20,0,0
64,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
65,"Analyse,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
66,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
67,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
68,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,22,21,0,0
69,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
70,Seite,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
71,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
72,Klientlnnen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
73,"beschrankt,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
74,bleibt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,22,20,0,0
75,leicht,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
76,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
77,sattsam,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
78,bekannter,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
79,psycho­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
80,pathologischer,0.0,0,0,14,0,0,0,0,0,0,0,0,8,22,20,0,0
81,Etikettierung.,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,20,0,0
82,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
83,yom,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
84,Ein­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
85,zelfall,0.0,0,0,7,0,0,0,0,0,0,0,0,8,22,21,0,0
86,abstrahierenden,0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,21,0,0
87,Analysen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
88,Grawes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
89,(1994),0.0,0,0,6,4,0,0,0,0,0,0,0,8,23,20,0,0
90,kondensieren,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
91,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
92,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
93,einleuchten­,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
94,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,22,20,0,0
95,"Wirkfaktoren,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,20,0,0
96,helfen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
97,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
98,beim,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
99,Ver­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
100,stehen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,22,20,0,0
101,(und,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
102,Verbessern),0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
103,psychotherapeu­,0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,20,0,0
104,tischer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,22,21,0,0
105,Interaktion,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
106,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
107,begrenzt.,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,21,0,0
108,Qualitative,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
109,Forschungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,23,21,0,0
110,scheinen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
111,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
112,geeigneteren,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
113,"Zugange,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,22,21,0,0
114,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
115,Ausgangsfrage,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,21,0,0
116,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
117,beantwor­,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
118,"ten,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,22,20,0,0
