,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,1m,0.0,0,0,2,1,0,0,0,0,0,0,1,9,35,68,0,1
1,Gesprich:,0.1111111111111111,1,0,9,0,0,1,0,0,0,0,0,9,2,68,0,1
2,Heiko,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,68,0,1
3,"Ernst,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,68,0,1
4,Chefredakteur,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,68,0,1
5,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,68,0,1
6,Zeitschrift,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,68,0,1
7,))Psychologie,0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,9,2,68,0,1
8,"heutecc,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,68,0,1
9,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,120,87,0,1
10,Hans-Jurgen,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,9,2,87,0,1
11,Seel,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,87,0,1
12,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,87,0,1
13,Ralph,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,87,0,1
14,Sichler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,87,0,1
15,J.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,22,353,0,0
16,SEEL:,0.8,1,0,5,0,0,1,0,0,0,0,0,6,3,353,0,0
17,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,353,0,0
18,fUr,0.3333333333333333,0,0,3,0,0,0,0,0,0,0,0,8,3,353,0,0
19,unser,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,353,0,0
20,Gesprach,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,353,0,0
21,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,353,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,353,0,0
23,Zusammenhang,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,22,20,0,0
24,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
25,Person,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
28,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,22,21,0,0
29,fUr,0.3333333333333333,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
30,unser,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
31,Fach.,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
32,Deshalb,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
