,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Lern-,0.2,1,0,5,0,0,0,0,0,0,0,0,11,134,47,0,1
1,und,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,47,0,1
2,Lehrmotivation,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,11,4,47,0,1
3,Reinhard,0.125,1,0,8,0,0,0,0,0,0,0,0,8,172,70,0,0
4,Wegner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,70,0,0
5,Zu••mmenf...ung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,23,131,0,1
6,Didaktische,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,23,19,0,0
7,Theorien,0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,19,0,0
8,verkorpern,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
9,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
10,unge­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
11,wohnlich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,23,20,0,0
12,hohen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
13,Reflexionsstand,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,20,0,0
14,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
15,bezug,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
16,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
17,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
18,Tatigkeit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
19,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
20,Lehrenden,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
21,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
22,Schulen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
23,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
24,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,23,20,0,0
25,Bildungseinrichtungen.,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,3,20,0,0
26,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
27,Konver­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
28,genz,0.0,0,0,4,0,0,0,0,0,0,0,0,8,23,20,0,0
29,neuerer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
30,theoretischer,0.0,0,0,13,0,0,0,0,0,0,0,0,8,1,20,0,0
31,Modelle,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
32,markiert,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
33,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,8,23,20,0,0
34,wohl,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
35,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
36,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
37,Ende,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
38,erziehungswissen­,0.0,0,0,17,0,0,0,0,0,0,0,0,8,2,20,0,0
39,schaftlicher,0.0,0,0,12,0,0,0,0,0,0,0,0,8,23,20,0,0
40,Forschung.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,1,20,0,0
41,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
42,Bildungsbemuhun­,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,20,0,0
43,gen,0.0,0,0,3,0,0,0,0,0,0,0,0,8,23,20,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
45,Lernsubjekte,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
46,scheinen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
47,sogar,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
48,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
49,eher,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
50,unerforschtes,0.0,0,0,13,0,0,0,0,0,0,0,0,8,23,20,0,0
